line_no,image file,doc_no,type,date,place,shelfmark,names_int,names_comp,image no.
2672,,,,,,,,"Chopin, Fryderyk Franciszek",
2673,pyr_207,333,Concert,18741022,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Onslow, George",207
2674,pyr_208,,,,,,"Bargheer, Gustav Adolf","Marschner, Heinrich August",208
2675,,,,,,,"Kahnt, Moritz","Mendelssohn Bartholdy, Felix",
2676,,,,,,,,"Balfe, Michael William",
2677,,,,,,,,"Vieuxtemps, Henri",
2678,,,,,,,,"Fesca, Alexander",
2679,,,,,,,,"Schubert, Franz",
2680,,,,,,,,"Weber, Carl Maria von",
2681,,,,,,,,"Chopin, Fryderyk Franciszek",
2682,pyr_209,334,Concert,18741119,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Bach, Johann Sebastian",209
2683,pyr_210,,,,,,"Bargheer, Gustav Adolf","Mozart, Wolfgang Amadeus",210
2684,,,,,,,"Kahnt, Moritz","Beethoven, Ludwig van",
2685,,,,,,,,"Mendelssohn Bartholdy, Felix",
2686,,,,,,,,"Spohr, Louis",
2687,,,,,,,,"Franz, Robert",
2688,,,,,,,,"Joachim, Joseph",
2689,pyr_211,335,Concert,18741217,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",211
2690,pyr_212,,,,,,"Bargheer, Gustav Adolf","Händel, Georg Friedrich",212
2691,,,,,,,"Kahnt, Moritz","Ernst, Heinrich Wilhelm",
2692,,,,,,,,"König, Marie",
2693,,,,,,,,"Rubinštejn, Anton Grigor'evič",
2694,,,,,,,,"Kummer, Friedrich August",
2695,,,,,,,,"Molique, Bernhard",
2696,,,,,,,,"Hölzel, Gustav",
2697,,,,,,,,"Mendelssohn Bartholdy, Felix",
2698,pyr_213,336,Concert,18750218,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Haydn, Joseph",213
2699,pyr_214,,,,,,"Bargheer, Gustav Adolf","Mozart, Wolfgang Amadeus",214
2700,,,,,,,"Kahnt, Moritz","Beethoven, Ludwig van",
2701,,,,,,,,"Dessauer, Joseph",
2702,,,,,,,,"Boieldieu, Adrien",
2703,,,,,,,,"Kahnt, Moritz",
2704,,,,,,,,"Mendelssohn Bartholdy, Felix",
2705,,,,,,,,"Rubinštejn, Anton Grigor'evič",
2706,,,,,,,,"Balfe, Michael William",
2707,,,,,,,,"Scholz, Hermann",
2708,,,,,,,,"Tausig, Carl",
2709,pyr_215,337,Season,18651130,Luzern,Ms.N.46 6.3,"Arnold, Gustav","Alard, Delphin",215
2710,pyr_216,,,18651221,,,,"Arnold, Gustav",216
2711,pyr_217,,,18660125,,,,"Asioli, Bonifacio",217
2712,pyr_218,,,18660315,,,,"Bach, Johann Sebastian",218
2713,pyr_219,,,18661011,,,,"Bargiel, Woldemar",219
2714,pyr_220,,,18661112,,,,"Bazzini, Antonio",220
2715,,,,18661227,,,,"Beethoven, Ludwig van",
2716,,,,18670207,,,,"Bériot, Charles-Auguste de",
2717,,,,18671128,,,,"Brahms, Johannes",
2718,,,,18671226,,,,"Chopin, Fryderyk Franciszek",
2719,,,,18680213,,,,"Dittersdorf, Carl Ditters von",
2720,,,,18680305,,,,"Durand, Auguste",
2721,,,,18681217,,,,"Ernst, Heinrich Wilhelm",
2722,,,,18690121,,,,"Field, John",
2723,,,,18690218,,,,"Gade, Niels Wilhelm",
2724,,,,18690311,,,,"Händel, Georg Friedrich",
2725,,,,18691209,,,,"Haydn, Joseph",
2726,,,,18700113,,,,"Heller, Stephen",
2727,,,,18700211,,,,"Henselt, Adolph von",
2728,,,,18700310,,,,"Hummel, Johann Nepomuk",
2729,,,,18701117,,,,"Jaëll, Alfred",
2730,,,,18701222,,,,"Joachim, Joseph",
2731,,,,18710126,,,,"Ketterer, Eugène",
2732,,,,18710209,,,,"Kirchner, Theodor",
2733,,,,18711214,,,,"Kuhlau, Friedrich",
2734,,,,18720201,,,,"Mendelssohn Bartholdy, Felix",
2735,,,,18720222,,,,"Moscheles, Ignaz",
2736,,,,18720307,,,,"Mozart, Wolfgang Amadeus",
2737,,,,18721212,,,,"Nardini, Pietro",
2738,,,,18730116,,,,"Onslow, Georges",
2739,,,,18730206,,,,"Osborne, George Alexander",
2740,,,,18730308,,,,"Reinecke, Carl",
2741,,,,18731218,,,,"Rubinštejn, Anton Grigor'evič",
2742,,,,18740115,,,,"Scarlatti, Domenico",
2743,,,,18740205,,,,"Scholz, Hermann",
2744,,,,18740312,,,,"Schubert, Franz",
2745,,,,18741022,,,,"Schumann, Robert",
2746,,,,18741119,,,,"Spohr, Louis",
2747,,,,18741217,,,,"Tausig, Carl",
2748,,,,18750218,,,,"Volkmann, Robert",
2749,,,,,,,,"Weber, Carl Maria von",
2750,,,,,,,,"Hegar, Friedrich",
2751,,,,,,,,"Léonard, Hubert",
2752,,,,,,,,"Molique, Bernhard",
2753,,,,,,,,"Vieuxtemps, Henri",
2754,,,,,,,,"Goltermann, Georg",
2755,,,,,,,,"Kahnt, Moritz",
2756,,,,,,,,"Kiel, Friedrich",
2757,,,,,,,,"Kummer, Friedrich August",
2758,,,,,,,,"Popper, David",
2759,,,,,,,,"Steffens, Gustav",
2760,pyr_221,338,Concert,18811020,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",221
2761,pyr_222,,,,,,,"Grieg, Edvard",222
2762,pyr_223,,,,,,,"Loewe, Carl",223
2763,pyr_224,,,,,,,,224
2764,pyr_225,,,,,,,,225
2765,pyr_226,,,,,,,,226
2766,pyr_227,,,,,,,,227
2767,pyr_228,,,,,,,,228
2768,pyr_229,339,Concert,18811027,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",229
2769,pyr_230,,,,,,,"Durand, Émile",230
2770,pyr_231,,,,,,,"Gounod, Charles-François",231
2771,pyr_232,,,,,,,"Faure, Jean-Baptiste",232
2772,pyr_233,,,,,,,,233
2773,pyr_234,,,,,,,,234
2774,pyr_235,,,,,,,,235
2775,pyr_236,,,,,,,,236
2776,pyr_237,340,Concert,18811104,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",237
2777,pyr_238,,,,,,,"Proch, Heinrich",238
2778,pyr_239,,,,,,,"Reinecke, Carl",239
2779,pyr_240,,,,,,,,240
2780,pyr_241,,,,,,,,241
2781,pyr_242,,,,,,,,242
2782,pyr_243,,,,,,,,243
2783,pyr_244,,,,,,,,244
2784,pyr_245,341,Concert,18811111,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",245
2785,pyr_246,,,,,,,"Schumann, Robert",246
2786,pyr_247,,,,,,,"Rubinštejn, Anton Grigor'evič",247
2787,pyr_248,,,,,,,"Meyerbeer, Giacomo",248
2788,pyr_249,,,,,,,,249
2789,pyr_250,,,,,,,,250
2790,pyr_251,,,,,,,,251
2791,pyr_252,,,,,,,,252
2792,pyr_253,342,Concert,18811125,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",253
2793,pyr_254,,,,,,,"Mendelssohn Bartholdy, Felix",254
2794,pyr_255,,,,,,,"Hiller, Ferdinand",255
2795,pyr_256,,,,,,,,256
2796,pyr_257,,,,,,,,257
2797,pyr_258,,,,,,,,258
2798,pyr_259,343,Concert,18811202,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",259
2799,pyr_260,,,,,,,"Schubert, Franz",260
2800,pyr_261,,,,,,,,261
2801,pyr_262,,,,,,,,262
2802,pyr_263,,,,,,,,263
2803,pyr_264,,,,,,,,264
2804,pyr_265,,,,,,,,265
2805,pyr_266,,,,,,,,266
2806,pyr_267,344,Concert,18811216,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",267
2807,pyr_268,,,,,,,"Wallbach, Ludwig",268
2808,pyr_269,,,,,,,"Lassen, Eduard",269
2809,pyr_270,,,,,,,,270
2810,pyr_271,,,,,,,,271
2811,pyr_272,,,,,,,,272
2812,pyr_273,,,,,,,,273
2813,pyr_274,,,,,,,,274
2814,pyr_275,345,Concert,18811223,"Luzern, Casino-Saal",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",275
2815,pyr_276,,,,,,,"Kreutzer, Conradin",276
2816,pyr_277,,,,,,,"Cherubini, Luigi",277
2817,pyr_278,,,,,,,,278
2818,pyr_279,,,,,,,,279
2819,pyr_280,,,,,,,,280
2820,pyr_281,,,,,,,,281
2821,pyr_282,,,,,,,,282
2822,pyr_283,346,Concert,18780712,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Beethoven, Ludwig van",283
2823,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Bach, Johann Sebastian",
2824,,,,,,,"Stadtorchester, Luzern","Gade, Niels Wilhelm",
2825,,,,,,,"Caecilienverein, Luzern","Haydn, Joseph",
2826,,,,,,,"Liedertafel, Luzern","Ecker, Karl",
2827,,,,,,,,"Freyer, August",
2828,,,,,,,,"Händel, Georg Friedrich",
2829,pyr_284,347,Concert,18780719,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Palme, Rudolph",284
2830,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Kreutzer, Conradin",
2831,,,,,,,"Stadtorchester, Luzern","Chopin, Fryderyk Franciszek",
2832,,,,,,,"Caecilienverein, Luzern","Weber, Carl Maria von",
2833,,,,,,,"Liedertafel, Luzern","Schnyder von Wartensee, Franz Xaver",
2834,,,,,,,,"Mozart, Wolfgang Amadeus",
2835,,,,,,,,"Cherubini, Luigi",
2836,,,,,,,,"Lux, Friedrich",
2837,,,,,,,,"Spohr, Louis",
2838,pyr_285,348,Concert,18780809,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Gluck, Christoph Willibald",285
2839,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Gounod, Charles-François",
2840,,,,,,,"Stadtorchester, Luzern","Lux, Friedrich",
2841,,,,,,,"Caecilienverein, Luzern","Mendelssohn Bartholdy, Felix",
2842,,,,,,,"Liedertafel, Luzern","Schumann, Robert",
2843,,,,,,,Busch,"Klein, Bernhard",
2844,,,,,,,,Kühne,
2845,,,,,,,,"Mertke, Eduard",
2846,pyr_286,349,Concert,18780816,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Liszt, Franz",286
2847,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Witt, Franz Xaver",
2848,,,,,,,"Stadtorchester, Luzern","Arnold, Gustav",
2849,,,,,,,"Caecilienverein, Luzern","Gade, Niels Wilhelm",
2850,,,,,,,"Liedertafel, Luzern","Haydn, Joseph",
2851,,,,,,,"Hindemann, M.","Händel, Georg Friedrich",
2852,,,,,,,"Köhler, Fr.","Freyer, August",
2853,,,,,,,,"Beethoven, Ludwig van",
2854,pyr_287,350,Concert,18790711,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Eckardt, Adolf",287
2855,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Hauptmann, Moritz",
2856,,,,,,,"Stadtorchester, Luzern","Haydn, Joseph",
2857,,,,,,,"Caecilienverein, Luzern","Mendelssohn Bartholdy, Felix",
2858,,,,,,,,"Rinck, Johann Christian Heinrich",
2859,,,,,,,,"Zwyssig, Alberik",
2860,,,,,,,,"Schumann, Robert",
2861,pyr_288,351,Concert,18790725,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Gade, Niels Wilhelm",288
2862,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Todt, Johann August Wilhelm",
2863,,,,,,,"Stadtorchester, Luzern","Händel, Georg Friedrich",
2864,,,,,,,"Caecilienverein, Luzern","Mozart, Wolfgang Amadeus",
2865,,,,,,,,"Gounod, Charles-François",
2866,,,,,,,,"Berlioz, Hector",
2867,,,,,,,,"Assmayer, Ignaz",
2868,pyr_289,352,Concert,18790801,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Hesse, Adolf Friedrich",289
2869,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Clifton, John Charles",
2870,,,,,,,"Stadtorchester, Luzern","Beethoven, Ludwig van",
2871,,,,,,,"Caecilienverein, Luzern","Becker, Valentin Eduard",
2872,,,,,,,,"Lux, Friedrich",
2873,,,,,,,,"Haydn, Joseph",
2874,pyr_290,353,Concert,18790829,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Freyer, August",290
2875,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Himmel, Friedrich Heinrich",
2876,,,,,,,"Stadtorchester, Luzern","Mendelssohn Bartholdy, Felix",
2877,,,,,,,"Caecilienverein, Luzern","Händel, Georg Friedrich",
2878,,,,,,,,"Chwatal, Franz Xaver",
2879,,,,,,,,"Gounod, Charles-François",
2880,,,,,,,,"Händel, Georg Friedrich",
2881,pyr_291,354,Concert,18800702,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Stehle, Johann Gustav Eduard",291
2882,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern",,
2883,,,,,,,"Stadtorchester, Luzern",,
2884,,,,,,,"Caecilienverein, Luzern",,
2885,pyr_292,355,Concert,18800723,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Gläser, Karl Gotthelf",292
2886,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Hesse, Adolf Friedrich",
2887,,,,,,,"Stadtorchester, Luzern","Palestrina, Giovanni Pierluigi da",
2888,,,,,,,"Caecilienverein, Luzern","Beethoven, Ludwig van",
2889,,,,,,,,"Schubert, Franz",
2890,,,,,,,,"Händel, Georg Friedrich",
2891,,,,,,,,"Kühmstedt, Friedrich Karl",
2892,pyr_293,356,Concert,18800820,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Bach, Johann Sebastian",293
2893,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Mendelssohn Bartholdy, Felix",
2894,,,,,,,"Stadtorchester, Luzern","Stadler, Maximilian",
2895,,,,,,,"Caecilienverein, Luzern","Krönig, August",
2896,,,,,,,,"Becker, Valentin Eduard",
2897,,,,,,,,"Lux, Friedrich",
2898,,,,,,,,"Drath, Theodor",
2899,,,,,,,,"Mozart, Wolfgang Amadeus",
2900,pyr_294,357,Concert,18800827,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Stehle, Johann Gustav Eduard",294
2901,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern",,
2902,,,,,,,"Stadtorchester, Luzern",,
2903,,,,,,,"Caecilienverein, Luzern",,
2904,pyr_295,358,Concert,18800708,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Hesse, Adolf Friedrich",295
2905,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Mozart, Wolfgang Amadeus",
2906,,,,,,,"Stadtorchester, Luzern","Beethoven, Ludwig van",
2907,,,,,,,"Caecilienverein, Luzern","Möhring, Ferdinand",
2908,,,,,,,,"Freyer, August",
2909,,,,,,,,"Orlando, Giovanni",
2910,,,,,,,,"Gluck, Christoph Willibald",
2911,pyr_296,359,Concert,18800722,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Freyer, August",296
2912,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Arcadelt, Jacques",
2913,,,,,,,"Stadtorchester, Luzern","Arnold, Gustav",
2914,,,,,,,"Caecilienverein, Luzern","Jensen, Adolf",
2915,,,,,,,,"Mendelssohn Bartholdy, Felix",
2916,,,,,,,,"Mozart, Wolfgang Amadeus",
2917,,,,,,,,"Gläser, Karl Gotthelf",
2918,,,,,,,,"Assmayer, Ignaz",
2919,pyr_297,360,Concert,18810729,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Lux, Friedrich",297
2920,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Beethoven, Ludwig van",
2921,,,,,,,"Stadtorchester, Luzern","László, Anna de",
2922,,,,,,,"Caecilienverein, Luzern","Mendelssohn Bartholdy, Felix",
2923,pyr_298,361,Concert,18810812,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Merkel, Gustav Adolf",298
2924,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Gluck, Christoph Willibald",
2925,,,,,,,"Stadtorchester, Luzern","Jensen, Adolf",
2926,,,,,,,"Caecilienverein, Luzern","Lachner, Franz",
2927,,,,,,,,"Kirchner, Theodor",
2928,,,,,,,,"Gade, Niels Wilhelm",
2929,,,,,,,,"Händel, Georg Friedrich",
2930,pyr_299,362,Concert,18820707,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Berens, Hermann",299
2931,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Stradella, Alessandro",
2932,,,,,,,"Stadtorchester, Luzern","Mendelssohn Bartholdy, Felix",
2933,,,,,,,"Caecilienverein, Luzern","Beethoven, Ludwig van",
2934,,,,,,,,"Zwyssig, Alberik",
2935,,,,,,,,"Berlioz, Hector",
2936,,,,,,,,"Kühmstedt, Friedrich Karl",
2937,pyr_300,363,Concert,18820721,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Lux, Friedrich",300
2938,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Méhul, Etienne-Nicolas",
2939,,,,,,,"Stadtorchester, Luzern","Chopin, Fryderyk Franciszek",
2940,,,,,,,"Caecilienverein, Luzern","Meyerbeer, Giacomo",
2941,,,,,,,,"Händel, Georg Friedrich",
2942,,,,,,,,"Hesse, Adolf Friedrich",
2943,pyr_301,364,Concert,18820804,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Drath, Theodor",301
2944,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Becker, Valentin Eduard",
2945,,,,,,,"Stadtorchester, Luzern","Kretschmer, Edmund",
2946,,,,,,,,"Cornelius, Peter",
2947,,,,,,,,"Mendelssohn Bartholdy, Felix",
2948,pyr_302,365,Concert,18820818,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Arnold, Gustav","Bach, Johann Sebastian",302
2949,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Liszt, Franz",
2950,,,,,,,"Stadtorchester, Luzern","Arnold, Gustav",
2951,,,,,,,,"Beethoven, Ludwig van",
2952,,,,,,,,"Gounod, Charles-François",
2953,,,,,,,,"Gade, Niels Wilhelm",
2954,,,,,,,,"Freyer, August",
2955,pyr_303,366,Concert,18840127,"Luzern, Schweizerhof",Ms.N.46 6.3,"Stadtorchester, Luzern","Beethoven, Ludwig van",303
2956,pyr_304,,,,,,"Kaufmann, Hans","Ecker, Karl",304
2957,pyr_305,,,,,,"Burgmeier, J.","Meyerbeer, Giacomo",305
2958,pyr_306,,,,,,"Liedertafel, Luzern","Arnold, Gustav",306
2959,pyr_307,,,,,,,"Mozart, Wolfgang Amadeus",307
2960,pyr_308,,,,,,,"Attenhofer, Carl",308
2961,pyr_309,,,,,,,"Bruch, Max",309
2962,pyr_310,,,,,,,,310
2963,pyr_311,,,,,,,,311
2964,pyr_312,,,,,,,,312
2965,pyr_313,,,,,,,,313
2966,pyr_314,,,,,,,,314
2967,pyr_315,,,,,,,,315
2968,pyr_316,,,,,,,,316
2969,pyr_317,,,,,,,,317
2970,pyr_318,,,,,,,,318
2971,pyr_319,367,Concert,18840130,"Luzern, Schweizerhof",Ms.N.46 6.3,"Stadtorchester, Luzern","Beethoven, Ludwig van",319
2972,,,,,,,"Kaufmann, Hans","Ecker, Karl",
2973,,,,,,,"Burgmeier, J.","Meyerbeer, Giacomo",
2974,,,,,,,"Liedertafel, Luzern","Arnold, Gustav",
2975,,,,,,,,"Mozart, Wolfgang Amadeus",
2976,,,,,,,,"Attenhofer, Carl",
2977,,,,,,,,"Bruch, Max",
2978,,,,,,,,"Schubert, Franz",
2979,,,,,,,,"Lassen, Eduard",
2980,pyr_320,368,Concert,18851114,"Luzern, Hôtel du Lac",Ms.N.46 6.3,"Liedertafel, Luzern","Weber, Carl Maria von",320
2981,,,,,,,"Stadtorchester, Luzern","Stehle, Johann Gustav Eduard",
2982,,,,,,,,"Storch, Anton Max",
2983,,,,,,,,"Arnold, Gustav",
2984,,,,,,,,"Wagner, Richard",
2985,,,,,,,,Sturm,
2986,pyr_321,369,Concert,18860614,Hitzkirch,Ms.N.46 6.3,"Cäcilienverein, Kanton Luzern","Mitterer, Ignaz Martin",321
2987,pyr_322,,,,,,,"Haller, Michael",322
2988,,,,,,,,"Stehle, Johann Gustav Eduard",
2989,,,,,,,,"Schildknecht, Joseph",
2990,,,,,,,,"Bach, Johann Sebastian",
2991,,,,,,,,"Mendelssohn Bartholdy, Felix",
2992,,,,,,,,"Breitenbach, Franz Joseph",
2993,,,,,,,,Zollner,
2994,,,,,,,,"Stein, Joseph",
2995,,,,,,,,"Kaim, Adolf",
2996,,,,,,,,Mader,
2997,,,,,,,,Molitor,
2998,,,,,,,,"Schütky, Franz Joseph",
2999,,,,,,,,"Witt, Franz Xaver",
3000,,,,,,,,"Ett, Caspar",
3001,,,,,,,,"Lasso, Orlando di",
3002,,,,,,,,"Lotti, Antonio",
3003,pyr_323,370,Concert,18880521,Altishofen,Ms.N.46 6.3,"Cäcilienverein, Kanton Luzern","Witt, Franz Xaver",323
3004,,,,,,,,"Stehle, Johann Gustav Eduard",
3005,,,,,,,,"Erni, A.",
3006,,,,,,,,"Schaller, Ferdinand",
3007,,,,,,,,"Mitterer, Ignaz Martin",
3008,,,,,,,,"Walther, Karl Arnold",
3009,,,,,,,,"Kretschmer, Edmund",
3010,,,,,,,,"Jaspers, Carl",
3011,,,,,,,,"Stein, Joseph",
3012,,,,,,,,"Braun, Stephan",
3013,,,,,,,,"Piel, Peter",
3014,,,,,,,,Zangl,
3015,,,,,,,,"Haller, Michael",
3016,,,,,,,,"Schildknecht, Joseph",
3017,,,,,,,,"Nekes, Franz",
3018,pyr_324,371,Concert,18891104,"Luzern, Schweizerhof",Ms.N.46 6.3,"Frischen, Josef","Gade, Niels Wilhelm",324
3019,pyr_325,,,,,,"Zur Mühlen, Raimund von","Delibes, Léo",325
3020,,,,,,,,"Liszt, Franz",
3021,,,,,,,,"Schubert, Franz",
3022,,,,,,,,"Henschel, George",
3023,,,,,,,,"Schumann, Robert",
3024,,,,,,,,"Beethoven, Ludwig van",
3025,pyr_326,372,Concert,18900214,"Luzern, Schweizerhof",Ms.N.46 6.3,"Frischen, Josef","Haydn, Joseph",326
3026,,,,,,,"Stadtorchester, Luzern","Bruch, Max",
3027,,,,,,,"Sicherer, Pia von","Wagner, Richard",
3028,,,,,,,"Stadtkapelle, Winterthur","Brahms, Johannes",
3029,,,,,,,,"Jensen, Adolf",
3030,pyr_327,373,Concert,18910119,"Luzern, Schweizerhof",Ms.N.46 6.3,"Frischen, Josef","Schumann, Robert",327
3031,,,,,,,"Stadtorchester, Luzern","Bruch, Max",
3032,,,,,,,"Spies, Hermine","Beethoven, Ludwig van",
3033,,,,,,,"Stadtkapelle, Winterthur","Schubert, Franz",
3034,,,,,,,,Giovannini,
3035,,,,,,,,"Löwe, Carl",
3036,,,,,,,,"Rubinštejn, Anton Grigor'evič",
3037,pyr_329,374,Concert,18910319,"Luzern, Matthäuskirche",Ms.N.46 6.3,"Männerchor, Luzern","Wagner, Richard",329
3038,pyr_330,,,,,,"Gmür, Rudolf","Massenet, Jules",330
3039,,,,,,,"Frischen, Josef","Frischen, Josef",
3040,,,,,,,"Stadtorchester, Luzern","Dregert, Alfred",
3041,,,,,,,,"Jüngst, Hugo",
3042,,,,,,,,"Bruch, Max",
3043,pyr_331,375,Concert,18911214,"Luzern, Schweizerhof",Ms.N.46 6.3,"Frischen, Josef","Mozart, Wolfgang Amadeus",331
3044,pyr_332,,,,,,"Stadtorchester, Luzern","Tausig, Carl",332
3045,,,,,,,"Klein-Achermann, Emilie","Eibenschütz, Albert",
3046,,,,,,,"Eibenschütz, Albert","Wagner, Richard",
3047,,,,,,,,"Scarlatti, Domenico",
3048,,,,,,,,"Chopin, Fryderyk Franciszek",
3049,,,,,,,,"Liszt, Franz",
3050,,,,,,,,"Schubert, Franz",
3051,pyr_333,376,Concert,18910823,"Sursee, Saal zum Schwanen",Ms.N.46 6.3,"Männerchor, Sursee",Krüger,333
3052,,,,,,,,"Baumgartner, Wilhelm",
3053,,,,,,,,"Kéler, Béla",
3054,,,,,,,,"Kamm, Ferdinand",
3055,,,,,,,,"Franke, C.",
3056,,,,,,,,Otto,
3057,,,,,,,,"Rixner, Joseph",
3058,,,,,,,,"Arnold, Gustav",
3059,pyr_334,377,Concert,18920215,"Luzern, Schweizerhof",Ms.N.46 6.3,"Frischen, Josef","Beethoven, Ludwig van",334
3060,pyr_335,,,,,,"Stadtorchester, Luzern","Goetz, Hermann",335
3061,pyr_336,,,,,,"Ottiker, Ottilie","Grieg, Edvard",336
3062,pyr_337,,,,,,"Gerhäuser, Emil","Schumann, Robert",337
3063,,,,,,,,"Pivoda, František",
3064,,,,,,,,"Weber, Carl Maria von",
3065,,,,,,,,"Wagner, Richard",
3066,pyr_338,378,Concert,18920304,"Luzern, Schweizerhof",Ms.N.46 6.3,"Frischen, Josef","Haydn, Joseph",338
3067,pyr_339,,,,,,"Stadtorchester, Luzern","Viotti, Giovanni Battista",339
3068,,,,,,,"Heermann, Hugo","Wagner, Richard",
3069,,,,,,,,"Hubay, Jenő",
3070,,,,,,,,"Berlioz, Hector",
3071,pyr_340,379,Concert,18920606,Weggis,Ms.N.46 6.3,"Cäcilienverein, Kanton Luzern","Arnold, Gustav",340
3072,,,,,,,"Breitenbach, Franz Joseph",Zangl,
3073,,,,,,,"Schildknecht, Joseph","Stehle, Johann Gustav Eduard",
3074,,,,,,,,"Schildknecht, Joseph",
3075,,,,,,,,"Breitenbach, Franz Joseph",
3076,,,,,,,,"Krawutschke, Robert ",
3077,,,,,,,,"Greith, Carl",
3078,,,,,,,,"Brosig, Moritz",
3079,,,,,,,,"Haller, Michael",
3080,,,,,,,,"Marenzio, Luca",
3081,,,,,,,,"Bach, Wilhelm Friedrich Ernst",
3082,pyr_341,380,Concert,18920101,Hitzkirch,Ms.N.46 6.3,,"Boieldieu, Adrien",341
3083,pyr_342,,,,,,,"Beethoven, Ludwig van",342
3084,,,,,,,,"Chopin, Fryderyk Franciszek",
3085,,,,,,,,"Schubert, Franz",
3086,,,,,,,,"Wagner, Richard",
3087,,,,,,,,"Arnold, Gustav",
3088,pyr_343,381,Concert,18921120,"Luzern, zum Rössli",Ms.N.46 6.3,"Franziskanerchor, Luzern","Gluck, Christoph Willibald",343
3089,pyr_344,,,,,,,"Schildknecht, Joseph",344
3090,pyr_345,,,,,,,"Frei, Joseph",345
3091,pyr_346,,,,,,,"Arnold, Gustav",346
3092,,,,,,,,"Heinze, Richard",
3093,,,,,,,,"Stehle, Johann Gustav Eduard",
3094,,,,,,,,"Fittig, Karl",
3095,,,,,,,,"Brahms, Johannes",
3096,pyr_347,382,Concert,18930808,"Luzern, Sankt Leodegar im Hof",Ms.N.46 6.3,"Männerchor, Luzern","Händel, Georg Friedrich",347
3097,pyr_348,,,,,,"Wanner, Julie","Dürrner, Johannes",348
