line_no,image file,doc_no,type,date,place,shelfmark,names_int,names_comp,image no.
1039,pyr_169,103,Concert,18460720,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Mattmann, Louise","Mozart, Wolfgang Amadeus",
1040,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Rossini, Gioachino",
1041,,,,,,,,"Beethoven, Ludwig van",
1042,,,,,,,,"Prudent, Emile",
1043,,,,,,,,"Proch, Heinrich",
1044,pyr_170,104,Concert,18460727,"Luzern, Theater",BRb.27.2,"Milanollo, Teresa","Bériot, Charles-Auguste de",
1045,,,,,,,"Milanollo, Maria","Proch, Heinrich",
1046,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Vieuxtemps, Henri",
1047,,,,,,,,"Artot, Alexandre-Joseph",
1048,,,,,,,,"Kreutzer, Conradin",
1049,,,,,,,,"Léonard, Hubert",
1050,,,,,,,,"Milanollo, Teresa",
1051,pyr_171,105,Concert,18460730,"Luzern, Theater",BRb.27.2,"Milanollo, Teresa",Haumann,
1052,,,,,,,"Milanollo, Maria","Herz, Henri",
1053,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Bériot, Charles-Auguste de",
1054,,,,,,,,"Vieuxtemps, Henri",
1055,,,,,,,,"Kreutzer, Conradin",
1056,,,,,,,,"Paganini, Nicolò",
1057,,,,,,,,"Ernst, Heinrich Wilhelm",
1058,pyr_172,106,Concert,18490121,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Maschek, Ernst","Beethoven, Ludwig van",
1059,,,,,,,"Maschek, Ernst jun.","Spohr, Louis",
1060,,,,,,,Maschek (Mme),"Bériot, Charles-Auguste de",
1061,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern","Schubert, Franz",
1062,,,,,,,,"Otto, Julius",
1063,,,,,,,,"Kittl, Jan Bedřich",
1064,,,,,,,,"Maschek, Ernst",
1065,,,,,,,,"Vieuxtemps, Henri",
1066,,,,,,,,"Storch, Anton Max",
1067,pyr_173,107,Concert,18490311,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Weber, Carl Maria von",173
1068,pyr_174,,,,,,,"Esser, Heinrich",174
1069,pyr_175,,,,,,,"Dancla, Jean-Baptiste Charles",175
1070,,,,,,,,"Diabelli, Anton",
1071,,,,,,,,"Eisenhofer, Franz Xaver",
1072,,,,,,,,"Beethoven, Ludwig van",
1073,,,,,,,,"Romberg, Andreas",
1074,pyr_176,108,Concert,18490415,"Luzern, Theater",BRb.27.2,"Caecilienverein, Luzern","Mendelssohn Bartholdy, Felix",176
1075,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern",,
1076,pyr_177,109,Concert,18490419,"Luzern, Theater",BRb.27.2,"Kölla, Rudolf","Ernst, Heinrich Wilhelm",177
1077,,,,,,,,"Schubert, Franz",
1078,,,,,,,,"Bériot, Charles-Auguste de",
1079,,,,,,,,"Mendelssohn Bartholdy, Felix",
1080,,,,,,,,"Artot, Alexandre-Joseph",
1081,pyr_178,110,Concert,18491007,"Luzern, Theater",BRb.27.2,"Stockhausen, Julius","Kreutzer, Conradin",178
1082,,,,,,,"Maschek, Ernst","Kalliwoda, Johann Wenzel",
1083,,,,,,,"Maschek, Ernst jun.","Bériot, Charles-Auguste de",
1084,,,,,,,Maschek (Mme),"Auber, Daniel-François-Esprit",
1085,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern",,
1086,pyr_179,111,Concert,18491226,"Luzern, Theater",BRb.27.2,"Stockhausen, Julius","Hérold, Ferdinand",179
1087,,,,,,,Maschek (Mme),,
1088,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern",,
1089,pyr_180,112,Concert,18500101,"Luzern, Theater",BRb.27.2,"Stockhausen, Julius","Hérold, Ferdinand",180
1090,,,,,,,Maschek (Mme),,
1091,,,,,,,"Theater- und Musikliebhabergesellschaft, Luzern",,
1092,pyr_181,113,Concert,18500319,"Luzern, Theater",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Beethoven, Ludwig van",181
1093,,,,,,,"Caecilienverein, Luzern","Weber, Carl Maria von",
1094,,,,,,,"Maschek, Ernst","Wolff, Edward",
1095,,,,,,,Maschek (Mme),"Vieuxtemps, Henri",
1096,,,,,,,"Maschek, Ernst jun.","Rossini, Gioachino",
1097,,,,,,,,"Mendelssohn Bartholdy, Felix",
1098,,,,,,,,"Auber, Daniel-François-Esprit",
1099,,,,,,,,"Meyerbeer, Giacomo",
1100,,,,,,,,"Bériot, Charles-Auguste de",
1101,,,,,,,,"Stauffer, Theodor",
1102,,,,,,,,"Fischer, G.",
1103,,,,,,,,"Marschner, Heinrich August",
1104,,,,,,,,"Otto, Julius",
1105,pyr_182,114,Concert,18501229,"Luzern, Theater",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Mendelssohn Bartholdy, Felix",182
