"Paul Etienne Victor Wachs"	"Wachs, Paul Etienne Victor"
"Viataz, Roger"	"Vuataz, Roger"
"Vouga, Mlle"	"Vouga (Mlle)"
"Camille de Vos"	"Vos, Camille de"
"P. M. Vorotnikov"	"Vorotnikov, P. M. "
"Vormolen, Alex."	"Voormolen, Alexander"
"Volkmagn"	"Volkmann"
"Wilhelm Adam Valentin Volckmar"	"Volckmar, Wilhelm Adam Valentin"
"Vogt, [?]"	"Vogt"
"Vivaldi, A."	"Vivaldi, Antonio"
"Philippe de Vitry"	"Vitry, Philippe de"
"Tomaso Antonio Vitali"	"Vitali, Tomaso Antonio"
"Tommaso Antonio Vitali"	"Vitali, Tomaso Antonio"
"Giovanni Battista Vitali"	"Vitali, Giovanni Battista"
"Robert de Visée"	"Visée, Robert de"
"Visée, R. de"	"Visée, Robert de"
"Visee, Robert de"	"Visée, Robert de"
"De Visée, R."	"Visée, R. de"
"Giovanni Battista Viotti"	"Viotti, Giovanni Battista"
"Aleksandr Adol'fovič Vinkler"	"Vinkler, Aleksandr Adol'fovič"
"Vicenzo da Rimini"	"Vincenzo da Rimini"
"Heitor Villa-Lobos"	"Villa-Lobos, Heitor"
"Villa Lobos, Heitor"	"Villa-Lobos, Heitor"
"Villa-Lobos, H."	"Villa-Lobos, Heitor"
"Villalobos, Hector"	"Villa-Lobos, Heitor"
"Villalobos, H."	"Villa-Lobos, H."
"Villa Lobos"	"Villa-Lobos"
"Renaud de Vilbac"	"Vilback, Renaud de"
"R. de Vilbach"	"Vilbach, R. de"
"de Vigny"	"Vigny, de"
"Rubinstein-Vieuxtemps, Henri"	"Vieuxtemps, Henri"
"Vieutemps, Henri"	"Vieuxtemps, Henri"
"Vieuxtemps, H."	"Vieuxtemps, Henri"
"Vieuxtemps, Henry"	"Vieuxtemps, Henri"
"Virdanck, Johann"	"Vierdanck, Johann"
"Tomás Luis de Victoria"	"Victoria, Tomás Luis de"
"Vittoria"	"Victoria, Tomás Luis de"
"Vittoria, L."	"Victoria, Tomás Luis de"
"Vittoria, Tomaso Ludovico da"	"Victoria, Tomás Luis de"
"Vittoria, Tommaso"	"Victoria, Tomás Luis de"
"Grossi da Viadana, Ludovico"	"Viadana, Lodovico"
"Viadana"	"Viadana, Lodovico"
"Verroust, S."	"Verroust, Louis Stanislas Xavier"
"Verroust, Stanislas"	"Verroust, Louis Stanislas Xavier"
"Victor Frédéric Verrimst"	"Verrimst, Victor-Frédéric"
"Johannes Josephus Hermanus Verhulst"	"Verhulst, Johannes Josephus Hermanus"
"Veress, Sandor"	"Veress, Sándor"
"Verdi, G."	"Verdi, Giuseppe"
"Verconsin, E."	"Verconsin, Eugène"
"Verchère, G."	"Verchère, Gabriel"
"Francesco Maria Veracini"	"Veracini, Francesco Maria"
"Véracin, F."	"Veracini, Francesco"
"Bernart de Ventadorn"	"Ventadorn, Bernart de"
"Van de  Velde"	"Velde, van de"
"Van de Velde"	"Velde, van de"
"Wenzel Henrich Veit"	"Veit, Wenzel Heinrich"
"Vaclav Jindřich Veit"	"Veit, Václav"
"Václav Jindrich Veit"	"Veit, Václav"
"Vaclav Jindřich Veit "	"Veit, Václav"
"Orazio Tiberio Vecchi"	"Vecchi, Orazio Tiberio"
"Vecchi, Orazio"	"Vecchi, Orazio Tiberio"
"Ralph Vaughan Williams"	"Vaughan Williams, Ralph"
"Vaughan-Williams, Ralph"	"Vaughan Williams, Ralph"
"Williams, Ralph Vaughan"	"Vaughan Williams, Ralph"
"Williams, Vaughan"	"Vaughan Williams, Ralph"
"Sergej Nikiforovič Vasilenko"	"Vasilenko, Sergej Nikiforovič"
"Alexander Jegorowitsch Warlamow"	"Varlamov, Aleksandr Egorovič"
"Warlamoff"	"Varlamov, Aleksandr Egorovič"
"Vannermootel"	"Vanremoortel"
"Vanremmoortel"	"Vanremoortel"
"Vanloo, A."	"Vanloo, Albert"
"Vaninetti, G."	"Vaninetti, Giuseppe"
"Johann Baptist Vanhal"	"Vanhal, Johann Baptist"
"Vanhal, J. B."	"Vanhal, Johann Baptist"
"Vanhal, Jan"	"Vanhal, Johann Baptist"
"W. van Perck"	"Van Perck, W."
"B. van Perck"	"Van Perck, B."
"B. Van Perck"	"Van Perck, B."
"Perck, B. van"	"Van Perck, B."
"Perck, Van"	"Van Perck, B."
"Perck, Van B."	"Van Perck, B."
"Henri Van Gael"	"Van Gael, Henri"
"Henri van Gael"	"Van Gael, Henri"
"Henri van Gaël"	"Van Gael, Henri"
"G. Van der Mersch"	"Van der Mersch, G. "
"Del Valle de Paz, E."	"Valle de Paz, Edgardo del"
"Edgard Samuel del Valle de Paz"	"Valle de Paz, Edgardo del"
"Valentin, K."	"Valentin, Karl"
"Uthmann, G.-Ad."	"Uthmann, G. A."
"Unrath, C.-L."	"Unrath, Karl Ludwig"
"Ullmann, Victor"	"Ullmann, Viktor"
"Gustav Tyson Wolff"	"Tyson-Wolff, Gustav"
"Ferdinando Gasparo Turrini"	"Turrini, Ferdinando Gasparo"
"Turina, Joaquin"	"Turina, Joaquín"
"Nikolaï Stepanovitch Toutchaninov"	"Turčaninov, Petr Ivanovič"
"Petr Ivanovic Turcaninov"	"Turčaninov, Petr Ivanovič"
"Pëtr Ivanovic Turcaninov "	"Turčaninov, Petr Ivanovič"
"Turchaninov, Pyotr"	"Turčaninov, Petr Ivanovič"
"Turtchaninoff"	"Turčaninov, Petr Ivanovič"
"Turtschaninoff, P."	"Turčaninov, Petr Ivanovič"
"Tourchaninoff"	"Turčaninov"
"Tourtchaninoff"	"Turčaninov"
"Trespailhé-Barrau, François-Dominique"	"Trespaillé-Barrau, François       "
"Trémisot, E."	"Trémisot, Edouard"
"Tournier, M."	"Tournier, Marcel"
"Torelli, G."	"Torelli, Giuseppe"
"Johann Gottlob Töpfer"	"Töpfer, Johann Gottlob"
"Václav Jan Tomášek"	"Tomášek, Václav Jan"
"Tôpfer, J. G."	"Toepfer, J.-G."
"J. Armin Toepfer"	"Toepfer, J. Armin"
"Toeppfer"	"Toepfer"
"E. A. Tod"	"Tod, E. A. "
"Toch, Ernest"	"Toch, Ernst"
"Gian Luca Tocchi"	"Tocchi, Gian Luca"
"Anton Emil Titl"	"Titl, Anton Emil"
"Titelouze, Jean"	"Titelouze, Jehan"
"Pier Adolfo Tirindelli"	"Tirindelli, Pier Adolfo "
"Pierre Joseph Edgar Tinel"	"Tinel, Pierre-Joseph Edgar"
"Tilmann, Alf."	"Tilman, Alfred"
"Liu Tianhua"	"Tianhua, Liu"
"Thuile, Ludwig"	"Thuille, Ludwig"
"Thomé, F."	"Thomé, Francis"
"Gustav Adolf Thomas"	"Thomas, Gustav Adolf"
"G. Ad. Thomas"	"Thomas, G. Ad. "
"Thomas, Amb."	"Thomas, Ambroise"
"Thomas, Amboise"	"Thomas, Ambroise"
"Thiele, L."	"Thiele, Ludwig"
"Thiele, Louis"	"Thiele, Ludwig"
"Johann Friedrich Ludwig Thiele"	"Thiele, Johann Friedrich Ludwig"
"Thiele, H."	"Thiele, Henri"
"Pierre Thee [?]"	"Thée, Pierre"
"Thalberg, Sigismond"	"Thalberg, Sigismund"
"G., Th."	"Th. G."
"Tessier, C."	"Tessier, Charles"
"Terschak, Adolphe"	"Terschak, Adolf"
"Anton Francesco Tenaglia"	"Tenaglia, Antonio Francesco"
"Antonio Francesco Tenaglia"	"Tenaglia, Antonio Francesco"
"Georg Philipp Telemann"	"Telemann, Georg Philipp"
"Telemann, G. Ph."	"Telemann, Georg Philipp"
"Telemann, Georg Philip"	"Telemann, Georg Philipp"
"Teissier, A."	"Teissier, Auguste-Joseph"
"Teissier, Aug."	"Teissier, Auguste-Joseph"
"Teissier, Auguste"	"Teissier, Auguste-Joseph"
"Teicke, Carl"	"Teike, Carl Albert Hermann"
"Teike, C."	"Teike, Carl Albert Hermann"
"Luigi Maurizio Tedeschi"	"Tedeschi, Luigi Maurizio"
"Karl Gottfried Wilhelm Taubert"	"Taubert, Karl Gottfried Wilhelm"
"Tartini, Giuseppi"	"Tartini, Giuseppe"
"Tarrega Eixea, Francisco"	"Tárrega, Francisco"
"Tarrega, F."	"Tárrega, Francisco"
"Tarrega, Francisco"	"Tárrega, Francisco"
"Tansman, A."	"Tansman, Alexandre"
"Alexandre, Tansman"	"Tansman, Aleksander"
"Sergej Ivanovič Taneev"	"Taneev, Sergej Ivanovič"
"Takacs, J."	"Takács, Jenö"
"Taillefer, Germaine"	"Tailleferre, Germaine"
"Taillefert, Germaine"	"Tailleferre, Germaine"
"Tafliafico"	"Tagliafico"
"Tayliafico"	"Tagliafico"
"Szymanowski, Ch."	"Szymanowski, Karol"
"Józef Zygmunt Szulc"	"Szulc, Józef Zygmunt"
"Szendy, Arpad"	"Szendy, Árpád"
"Jules de Swert"	"Swert, Jules de"
"Jan Pieterszoon Sweelinck"	"Sweelinck, Jan Pieterszoon"
"Sweelinck, J. P."	"Sweelinck, Jan Pieterszoon"
"Swelinck"	"Sweelinck, Jan Pieterszoon"
"F. W. Swoboda"	"Svoboda, Frántišek V."
"Johann Severin Svendsen"	"Svendsen, Johann Severin"
"Johan Severin Svendsen"	"Svendsen, Johan Severin"
"Herman Severin Svendsen"	"Svendsen, Hermann Severin"
"Susato, T."	"Susato, Tielman"
"Franz von Suppé"	"Suppè, Franz von"
"Suppé, Franz"	"Suppè, Franz von"
"Suppé"	"Suppè"
"Arthur Seymour Sullivan"	"Sullivan, Arthur Seymour"
"Suk, Joseph"	"Suk, Josef"
"Sturm, W."	"Sturm, Wilhelm"
"Josef Hartmann Stuntz"	"Stuntz, Joseph Hartmann"
"Strubin, Philippe"	"Strübin, Philipp"
"Georg Templeton Strong"	"Strong, Templeton George"
"George Templeton Strong"	"Strong, George Templeton"
"Strong-Templeton"	"Strong, George Templeton"
"Strong, Templeton"	"Strong, George Templeton"
"Templeton Strong"	"Strong, George Templeton"
"Templeton-Strong"	"Strong, George Templeton"
"Strobl, Henrich"	"Strobl, Heinrich"
"Igor' Fëdorovič Stravinskij"	"Stravinskij, Igor' Fëdorovič"
"Stravinski"	"Stravinskij, Igor' Fëdorovič"
"Stravinski, I."	"Stravinskij, Igor' Fëdorovič"
"Stravinski, Igor"	"Stravinskij, Igor' Fëdorovič"
"Stravinsky"	"Stravinskij, Igor' Fëdorovič"
"Stravinsky, I."	"Stravinskij, Igor' Fëdorovič"
"Stravinsky, Igor"	"Stravinskij, Igor' Fëdorovič"
"Strawinski"	"Stravinskij, Igor' Fëdorovič"
"Strawinsky"	"Stravinskij, Igor' Fëdorovič"
"Strawinsky, I."	"Stravinskij, Igor' Fëdorovič"
"Strawinsky, Igor"	"Stravinskij, Igor' Fëdorovič"
"Strauss, R."	"Strauss, Richard"
"Strauss, Josef"	"Strauß, Josef"
"Strauss, Joseph"	"Strauß, Josef"
"Johann Strauss II"	"Strauß, Johann"
"Strauss, Johann"	"Strauß, Johann"
"Strauss, Ed."	"Strauss, Eduard"
"Strauß"	"Strauss"
"Straus, O."	"Straus, Oscar Nathan"
"Strauss, Oscar"	"Straus, Oscar Nathan"
"S?ökle, J."	"Stöklé, J."
"Stojowski, Sigismund"	"Stojowski, Zygmunt"
"Stierlin-Vallon, H."	"Stierlin-Vallon, Henri"
"Steinbeck, H."	"Steinbeck, Heinrich"
"Steibelt, Daniel"	"Steibelt, Daniel Gottlieb"
"Johann Gustav Eduard Stehle"	"Stehle, Johann Gustav Eduard"
"Stauffer, Teddy"	"Stauffer, Theodor"
"Stauffer, Th."	"Stauffer, Theodor"
"Stassni"	"Stasny"
"Charles Villiers Stanford"	"Stanford, Charles Villiers"
"Stanford, C.-V."	"Stanford, Charles Villiers"
"William Henry Squire"	"Squire, William Henry"
"Sporck, G."	"Sporck, Georges"
"Spohr, L."	"Spohr, Louis"
"Spohr, Ludwig"	"Spohr, Louis"
"Aleksandr Afanasievitch Spendiarov"	"Spendiarov, Aleksandr Afanasievitch"
"Spassovhodsky, P."	"Spasovchodskij, P."
"Spassowhodsky"	"Spasovchodskij, P."
"Eva Ruth Spalding"	"Spalding, Eva Ruth"
"John Philip Sousa"	"Sousa, John Philip"
"Chostakovich, Dmitry"	"Šostakovič, Dmitrij Dmitrievič"
"Chostakovitch, D."	"Šostakovič, Dmitrij Dmitrievič"
"Chostakovitch, Dimitri"	"Šostakovič, Dmitrij Dmitrievič"
"Dmitrij Dmitrievič Šostakovič"	"Šostakovič, Dmitrij Dmitrievič"
"Chostacovitch"	"Šostakovič "
"Chostakovich"	"Šostakovič "
"Chostakovitch"	"Šostakovič "
"Sor, F."	"Sor, Fernando"
"Giovanni Lorenzo Somis"	"Somis, Giovanni Lorenzo"
"Giovanni Battista Somis"	"Somis, Giovanni Battista"
"Padre Soler"	"Soler, Antonio"
"Soler, P."	"Soler, Antonio"
"Soler, Padre"	"Soler, Antonio"
"Soler, Padre A."	"Soler, Antonio"
"Van Soldt, Suzanne"	"Soldt, Susanne van"
"Nikolaj Aleksandrovič Sokolov"	"Sokolov, Nikolaj Aleksandrovič"
"Sokolow"	"Sokolov"
"Söderman, A."	"Söderman, August"
"Söderman, Aug."	"Söderman, August"
"Soederman, A."	"Söderman, August"
"Soedermann, A."	"Söderman, August"
"J. Granville Smith"	"Smith, J. Granville"
"Smetana, Bedrich"	"Smetana, Bedřich"
"Smetana, Frédéric"	"Smetana, Bedřich"
"Mme O. Slaviansky"	"Slaviansky (Mme)"
"Aleksandr Nikolaevič Skrjabin"	"Skrjabin, Aleksandr Nikolaevič"
"Scriabin, Alexander"	"Skrjabin, Aleksandr Nikolaevič"
"Scriabine"	"Skrjabin, Aleksandr Nikolaevič"
"Scriabine, A."	"Skrjabin, Aleksandr Nikolaevič"
"Sjögren, Emile"	"Sjögren, Emil"
"Charles de Sivry"	"Sivry, Charles de"
"Sivori, Camille"	"Sivori, Ernesto Camillo"
"Sivori, Camillo"	"Sivori, Ernesto Camillo"
"Singelee"	"Singelée"
"Sinding, Ch."	"Sinding, Christian"
"Cécile P. Simon"	"Simon, Cécile P."
"Poll da Silva"	"Silva, Poll de"
"Déodat de Séverac"	"Séverac, Déodat de"
"Severac, D. de"	"Séverac, Déodat de"
"Sevérac, D. de"	"Séverac, Déodat de"
"Séverac, D. de"	"Séverac, Déodat de"
"Sévérac, D. de"	"Séverac, Déodat de"
"Séverac, de"	"Séverac, Déodat de"
"V. S. Sevadjian"	"Sevadjian, V. S. "
"Servais, F."	"Servais, Adrien-François"
"Adrien François Servais"	"Servais, Adrien François"
"Louis de Serres"	"Serres, Louis de"
"Claudin de Sermisy"	"Sermisy, Claudin de"
"Sermisy, C. de"	"Sermisy, Claudin de"
"Hugo de Senger"	"Senger, Franz Ludwig Hugo von"
"Senger, Franz Ludwig Hugo von (dir.)"	"Senger, Franz Ludwig Hugo von"
"Senèe"	"Senée"
"Senaille, J. B."	"Senaillé, Jean-Baptiste"
"Senaille"	"Senaillé"
"Selma, B."	"Selma y Salaverde, Bartolomé de"
"Sellenick, Ad."	"Sellenick, Adolphe"
"Selivanow"	"Selivanov"
"Seligmann, P."	"Seligmann, Hippolyte Prosper"
"Seitz, F."	"Seitz, Friedrich"
"Seitz, Fr."	"Seitz, Friedrich"
"Seitz, Frédérick"	"Seitz, Friedrich"
"Georges de Seigneux"	"Seigneux, Georges de"
"Segond, P."	"Segond, Pierre"
"Giulio Segni da Modena"	"Segni da Modena, Giulio"
"Vissarion Âkovlevič Šebalin"	"Šebalin, Vissarion Âkovlevič"
"Scott, C."	"Scott, Cyril"
"Ludvig Theodor Schytte"	"Schytte, Ludvig Theodor"
"Schytte, Ludwig"	"Schytte, Ludvig"
"Schütz, Henrich"	"Schütz, Heinrich"
"Schumann, R."	"Schumann, Robert"
"Schumann, Rocert"	"Schumann, Robert"
"Johann Christoph Schulze"	"Schulze, Johann Christoph"
"Schulz, Osacr"	"Schulz, Oscar"
"Johann Abraham Peter Schulz"	"Schulz, Johann Abraham Peter"
"[?], Beutthen"	"Schulz-Beuthen, Heinrich"
"Schulthess, Walther"	"Schulthess, Walter"
"Schubert, F."	"Schubert, Franz"
"Schubert, Fr."	"Schubert, Franz"
"Christian Friedrich Daniel Schubart"	"Schubart, Christian Friedrich Daniel"
"Schröder, Carl"	"Schröder, Karl"
"Schönberg, Arnol"	"Schönberg, Arnold"
"Scholz, B."	"Scholz, Bernhard"
"Xaver Schnyder von Wartensee"	"Schnyder von Wartensee, Franz Xaver"
"Schinttke, Alfred"	"Schnittke, Alfred"
"Schneegans, Jules"	"Schnéegans, Jules"
"Schnéegans, Jules"	"Schnéegans, Jules"
"Schneeganz [Jules Schnégans?]"	"Schnéegans, Jules"
"Schnégans, J."	"Schnéegans, Jules"
"Schnégans, Jules"	"Schnéegans, Jules"
"Jakob Eduard Schmölzer"	"Schmölzer, Jakob Eduard"
"Florent-Schmitt"	"Schmitt, Florent"
"Schmitt, Fl."	"Schmitt, Florent"
"Johann Philipp Schmidt"	"Schmidt, Johann Philipp"
"Johann Heinrich Schmelzer"	"Schmelzer, Johann Heinrich"
"Sebastian Benson Schlesinger"	"Schlesinger, Sebastian Benson"
"Schlemuller, H."	"Schlemüller, Hugo"
"Schlemüller, H."	"Schlemüller, Hugo"
"Schlegel, Lauder"	"Schlegel, Leander"
"Max von Schillings"	"Schillings, Max von"
"Schiffmacher, Jos."	"Schiffmacher, Joseph"
"Johann Christian Schickhard"	"Schickhardt, Johann Christian"
"Johann Gottfried Schicht"	"Schicht, Johann Gottfried"
"Schenck, Johann"	"Schenck, Johannes"
"Scheler, A."	"Scheler, Alphonse"
"Scheler, Alph."	"Scheler, Alphonse"
"Johann Hermann Schein"	"Schein, Johann Hermann"
"Schein, J. H."	"Schein, Johann Hermann"
"Scheidt, S."	"Scheidt, Samuel"
"Scharwenka, X."	"Scharwenka, Xaver"
"Scharwenka, P."	"Scharwenka, Philipp"
"Scharwenka, Ph."	"Scharwenka, Philipp"
"Franz Xaver Scharwenka"	"Scharwenka, Franz Xaver"
"Scharwencka"	"Scharwenka"
"Joseph Matthias Schäfer"	"Schäfer, Joseph Matthias"
"Johann Matthias Schäfer"	"Schäfer, Johann Matthias"
"Theodor von Schacht"	"Schacht, Theodor von"
"Nicolas de Stcherbatcheff"	"Ščerbačev, Nikolaj Vladimirovič"
"Scherbatcheff"	"Ščerbačev"
"Scassola, A."	"Scassola, Aristide"
"Scarlatti, D."	"Scarlatti, Domenico"
"Scarlatti, A."	"Scarlatti, Alessandro"
