"Société de Zofingue"	"Zofingue, Genève"
"Société genevoise des amis de l'Instruction"	"Société genevoise des amis de l'instruction, Genève"
"Société genevoise des Amis de l'Instruction"	"Société genevoise des amis de l'instruction, Genève"
"Société du Progrès"	"Société du progrès, Genève"
"Grand orchestre national"	"Société du grand Orchestre national, Genève"
"Société du grand Orchestre national"	"Société du grand Orchestre national, Genève"
"Société des Étudiants Français"	"Société des étudiants français, Genève"
"Société des étudiants bulgares Bratstwo"	"Société des étudiants bulgares Bratstwo, Genève"
"Société des artistes"	"Société des artistes, Genève"
"Société de Musique Symphonique"	"Société de musique symphonique de Genève"
"Société de musique symphonique"	"Société de musique symphonique de Genève"
"Société de musique de chambre pour instruments à vent"	"Société de musique de chambre pour instruments à vent, Genève"
"Société de l'Instruction mutuelle"	"Société de l'Instruction mutuelle, Genève"
"Société de Chant Sacré"	"Société de chant sacré, Genève"
"Société de chant sacré"	"Société de chant sacré, Genève"
"Société de hant sacré"	"Société de chant sacré, Genève"
"Société Chorale des Eaux-Vives"	"Société chorale des Eaux-Vives, Genève"
"Société chorale des Eaux-Vives"	"Société chorale des Eaux-Vives, Genève"
"Société Chorale de Sainte-Cécile"	"Société chorale de Sainte-Cécile, Lausanne"
"Société Chorale de Genève et sa section d'enfants"	"Société chorale de Genève et sa section d'enfants"
"La Chorale de Genève"	"Société chorale de Genève"
"Société chorale"	"Société chorale de Genève"
"Société Chorale de Genève"	"Société chorale de Genève"
"Snell, H."	"Snell, Honore"
"Smetana, Bedrich"	"Smetana, Bedřich"
"Slaviansky d'Agréneff, D."	"Slaviansky d'Agréneff, Dmitri"
"Three sisters Edith"	"Sisters Edith"
"Silva, Luis Alves da"	"Silva, Luiz Alves da"
"Sillem, C."	"Sillem, Constance"
"Sillem, C. (Mlle)"	"Sillem, Constance"
"Sigrand, F."	"Sigrand, Frank"
"Sigmundt, Ad."	"Sigmundt, A."
"Sharples, M."	"Sharples, May"
"Sharpless (Mlle)"	"Sharples (Mlle)"
"Servettaz, C. (Mlle)"	"Servettaz, Céline"
"Servettaz, Célina"	"Servettaz, Céline"
"Serkin, Rudlof"	"Serkin, Rudolf"
"Senger, Franz Ludwig Hugo von ?"	"Senger, Franz Ludwig Hugo von"
"Segon, Pierre"	"Segond, Pierre"
"Segesmann, J. (Mlle)"	"Segesmann, Jeanne"
"Segessemann, Jeanne"	"Segesmann, Jeanne"
"Sections musicale et littéraire de l'Orphéon du Léman"	"Sections musicale et littéraire de l'Orphéon du Léman, Genève"
"Section genevoise des étudiants suisses"	"Section genevoise des étudiants suisses, Genève"
"Section fédérale de gymnastique de Genève-Ville"	"Section fédérale de gymnastique Genève-Ville"
"Section de gymnastique de Plainpalais"	"Section de gymnastique de Plainpalais, Genève"
"Schwalbé, Michel"	"Schwalbe, Michel"
"Schwab, L."	"Schwab, Louis"
"Schulz, O."	"Schulz, Oscar"
"Schulz-Lilié, C."	"Schulz-Lilié, Clara"
"Schulz, C."	"Schulz-Lilié, Clara"
"Schulz, Clara"	"Schulz-Lilié, Clara"
"Schulhof, Otto"	"Schulhoff, Otto"
"Schoeck, Othmar {RISM:85979"	"Schoeck, Othmar"
"Schnorhk, Martine"	"Schnork, Martine"
"Schneider, Gertrude"	"Schneider, Gertrud"
"Schneegans, A."	"Schnéegans, Aug."
"Schneegans"	"Schnéegans"
"Scheyterberg, E. de"	"Scheyterberg, Eveline de"
"Scheyterberg, E. de (Mlle)"	"Scheyterberg, Eveline de"
"Scheyterberg (Mlle)"	"Scheyterberg, de (Mlle)"
"Scheler, A."	"Scheler, Alphonse"
"Scheler, Alph."	"Scheler, Alphonse"
"Saxod, J."	"Saxod, Jean"
"Santandrea, P."	"Santandrea, Pierre"
"Santandréa, P."	"Santandrea, Pierre"
"Santandréa, Pierre"	"Santandrea, Pierre"
"Saengerverein Harmonie de Zürich"	"Sängerverein Harmonie, Zürich"
"Sängerverein Harmonie de Zürich"	"Sängerverein Harmonie, Zürich"
"Saengerbund"	"Sängerbund"
"Salmond, A."	"Salmond, Arthur"
