"BMU DG4 F000794"	"bmu_dg4_f000794"	"[18--?]"	"1899.03.07"	"1 p. ; 28 cm"	"Genève, Casino de Saint-Pierre"	"Grand concert donné par Louis Rey"	"Rubinstein-Vieuxtemps, Henri {RISM:142566} ; Halévy, Fromental {RISM:40914} ; Vieuxtemps, Henri {RISM:142566} ; Wieniawski, Henryk {RISM:137176} ; Ketten, Léopold ; Nicolle, Louis ; Bach, Johann Sebastian {RISM:2539} ; Vidor ; Grisar ; Hérold ; Léonard"	"Rey, Louis ; Arnaud, Félicie ; Wittmer, Elisa ; Séran ; Dauphin ; Senger, Franz Ludwig Hugo von {RISM:30015297} ; Huguenin, Ch. ; Boyer "		"Date incertaine"
"BMU DG4 F000795"	"bmu_dg4_f000795"	"[18--?]"	"1899.03.25"	"1 p. ; 27 cm"	"Genève, Casino de Saint-Pierre"	"Soirée musicale donnée par la société mixte Galin-Paris-Chevé"	"Bortnjanskij, Dmitrij Stepanovič {RISM:30000441} ; Lionnet, A. ; Verdi, Giuseppe {RISM:137994} ; Gounod, Charles-François {RISM:80479} ; Romberg "	"Société Mixte de Galin-Paris-Chevé"		"Date incertaine"
"BMU DG4 F000791"	"bmu_dg4_f000791"	"[18--?]"	"1899.05.07"	"1 p. ; 30 cm"	"Genève, Casino de Saint-Pierre"	"Grand concert donné par M. Louis Rey"	"Tartini ; Saint-Saëns, Camille {RISM:76734} ; Mendelssohn Bartholdy, Felix {RISM:88790} ; Wagner, Richard {RISM:111172} ; Wilhelmy ; Bach, Johann Sebastian {RISM:2539} ; Mirande, H. ; Brassin ; Chopin, Fryderyk Franciszek {RISM:51160} ; Rey, L. ; Wieniawski, Henryk {RISM:137176} "	"Rey, Louis ; Ketten (Mme) ; Ysaÿe, Th. ; Ketten, Léopold"		"Date incertaine"
"BMU DG4 F000793"	"bmu_dg4_f000793"	"[18--?]"	"1899.05.24"	"3 p. ; 22 cm"	"Genève, Casino de Saint-Pierre"		"Dont, J. ; Schubert, Franz {RISM:111603} ; Mendelssohn Bartholdy, Felix {RISM:88790} ; Raff, Joachim {RISM:32686} ; Saint-Saëns, Camille {RISM:76734} ; Kreutzer ; Singelée ; Dancla ; Spohr, Louis {RISM:149499} ; Léonard ; Bériot ; Rode ; Sarasate"	"Rey, Louis ; Rey, Louise ; Excoffier, J. ; Holzmann ; Prod'hom, J. (Mlle) ; Wittmer, E. (Mlle) ; Tornare ; Désani ; Rey, E. ; Huguenin, Charles ; Richter, H. ; Chavin, M. (Mlle) ; Odier, R. ; Lovvrye, J. ; Gennequand, W. ; Moré ; Perregaux ; Jaubert, G. ; Vernet-tur-Rettini ; Baudet, A. (Mlle) ; Scheyterberg, E. de (Mlle) ; Siordet, Ch. ; Dutoit-Keyser (Mlle) ; Studer ; Thesmar, E. ; Groux-Progler (Mlle) ; "		"Date incertaine"
"BMU DG4 F001297"	"bmu_dg4_f001297"	"[18--?]"	"1899.08.14"	"1 p. ; 27 cm"	"Genève, Kursaal"	"Grand concert donné avec le concours de Mlle Marguerite Deval [et al.]"	"Mozart, Wolfgang Amadeus {RISM:115324} ; Lacome, Paul {RISM:30024118} ; Feraris ; Gutello ; Mendelssohn Bartholdy, Felix {RISM:88790} ; Ardoin ; Cedés ; Mozart, Wolfgang Amadeus {RISM:115324} ; Komelli, J. A. "	"Deval, Marguerite ; Lamoury ; Damiani ; Tanguy ; Fréry ; Garin ; Malagoli "		"Date incertaine"
"BMU DG4 F006677"	"bmu_dg4_f006677"	"[19--?]"	"1900.05.01"	"3 p. ; 22 cm + 2 broch."	"Genève, Salon du Cercle des arts et des lettres"	"Audition d'élèves de Mlle E. Meigniez"	"Johannsen ; Macchabey-Geneval ; Gürlitt ; Binet ; Séverac, Déodat de ; Diet, O. ; Finck, W. ; Selivanow ; Kuhlau ; Beethoven, Ludwig van {RISM:11035} ; Bâton, Rhené ; Chaminade ; Rheinecke ; Binet ; Schubert, Franz {RISM:111603} ; Karganoff ; Grétry, André-Ernest-Modeste {RISM:83932} ; Franck, César {RISM:70009} ; Mozart, Wolfgang Amadeus {RISM:115324} ; Zamacoïs ; Daquin ; Borodine ; Debussy, Claude {RISM:4338} ; Chopin, Fryderyk Franciszek {RISM:51160} ; Bâton, Rhené ; Fauré, Gabriel {RISM:41731} ; Février"	"Valmond, André ; Michel, Béatrice ; Chevalley ; Valmond, Florence ; Meigniez, E. ; Beck, Stéphane ; Rudaz, Hélène ; Vibert, Edith ; Vibert, Georges ; Schlaeppi, Elfride ; Schlaeppi, Eléonore ; Maier, Marianne ; Lugon, Roger ; Krivockei, Alexandre ; Allegra, Antoinette ; Neirotti, Andrée ; Démolis, Lucienne ; Bachmann, Isa ; Gourieff, Herta ; Michel (Mlle) "		"Date incertaine"
"BMU DG4 F001300"	"bmu_dg4_f001300"	"[19--?]"	"1900.06.17"	"1 p. ; 30 cm"	"Genève, Académie de musique"	"Programme imposé pour le diplôme de capacité de Marie-José Dunoyer"	"Couperin, François {RISM:30000757} ; Bach, Johann Sebastian {RISM:2539} ; Beethoven, Ludwig van {RISM:11035} ; Mozart, Wolfgang Amadeus {RISM:115324} ; Chopin, Fryderyk Franciszek {RISM:51160} ; Sauer ; Schumann, Robert {RISM:131206} ; Migot ; Ravel, Maurice {RISM:30008498}"	"Dunoyer, Marie - Jose"		"Date incertaine"
"BMU DG3-4 F000736"	"bmu_dg3_4_f000736"	"1918"	"1918.00.00"	"1 p. ; 28 cm"	"Genève, Théâtre Pitoëff (Salle communale de Plainpalais)"	"Représentation G. Pitoëff : L'estomac ; Amour et géographie"	"Brantmay, Henry ; Bjørnson, Bjørnstjerne {RISM:18664} ; Monnier, A."	"Mar-Vax ; Pitoëff, G. ; Give (Mme) ; Finck, P. ; Castel, Virginie ; Monney, C. (Mlle) ; Nechitch, André ; Binet, E. (Mlle) ; Blumer, E. (Mlle)"		"Date incertaine"
"BMU DG3-4 F000744"	"bmu_dg3_4_f000744"	"1924-1925?"	"1925.01.11"	"4 p. ; 22 cm"	"Genève, Théâtre Pitoëff (Salle communale de Plainpalais)"	"Henri IV"	"Pirandello, Luigi {RISM:30032112}  ; Crémieux, Benjamin"	"Pitoeff, G. ; Sylvère (Mlle) ; Pitoëff, Ludmilla ; Peltier ; Evséeff ; Jim-Géralds ; Jean-Hort ; Penay ; Ponti ; Nauny ; Ronet ; Léonard ; N. N. "		"Date incertaine"
"BMU DG3-4 F000745"	"bmu_dg3_4_f000745"	"1925-1926"	"1926.03.26"	"4 p. ; 22 cm"	"Genève, La Comédie"	"Représentations du Théâtre Pitoëff : L'âme en peine"	"Bernard, Jean-Jacques"	"Pitoëff, Ludmilla ; Vermeil, Henry ; Peltier, Léo ; Penay, Alfred ; Grinevsky (Mme) ; Ponti, E. ; Pitoëff ; Casalis, Eve ; Larive, Léon ; Sylvère (Mlle) ; Reichen (Mlle)"		"Date incertaine"
