"line_no","images","doc_no","type","date","place","#no longer used#","names_int","names_comp"
8117,"CH_Bm_prg-3072",,,,,,,
8118,"CH_Bm_prg-3073",,,,,,,
8119,"CH_Bm_prg-3074",,,,,,,
8120,"CH_Bm_prg-3075",,,,,,,
8121,"CH_Bm_prg-3076",,,,,,,
8122,"CH_Bm_prg-3077",,,,,,,
8123,"CH_Bm_prg-3078",,,,,,,
8124,"CH_Bm_prg-3079","474","Concert","20161125","Basel, Predigerkirche","Vokalensemble La Pedrina","Pandolfo, Paolo","Bassani, Orazio"
8125,"CH_Bm_prg-3080",,,,,,"Bortolotto, Leonardo","Sandrin, Pierre"
8126,"CH_Bm_prg-3081",,,,,,"Boysen, Thomas C.","Bonizzi, Vincenzo"
8127,"CH_Bm_prg-3082",,,,,,"Pedrini, Francesco Saverio","Ortiz, Diego"
8128,"CH_Bm_prg-3083",,,,,,"Jublin, Gabriel","Palestrina, Giovanni Pierluigi da"
8129,"CH_Bm_prg-3084",,,,,,"Deger, Matthias","Rognoni Taeggio, Francesco"
8130,"CH_Bm_prg-3085",,,,,,"Borgonovo, Paolo","Rore, Cipriano de"
8131,"CH_Bm_prg-3086",,,,,,"Grigalis, Raitis","Dalla Casa, Girolamo"
8132,"CH_Bm_prg-3087",,,,,,"Bellotto, Matteo","Lasso, Orlando di"
8133,"CH_Bm_prg-3088",,,,,,"Ensemble La Pedrina","Virgiliano, Aureliano"
8134,"CH_Bm_prg-3089",,,,,,,"Crecquillon, Thomas"
8135,"CH_Bm_prg-3090",,,,,,,"Rognoni, Riccardo"
8136,"CH_Bm_prg-3091",,,,,,,
8137,"CH_Bm_prg-3092",,,,,,,
8138,"CH_Bm_prg-3093",,,,,,,
8139,"CH_Bm_prg-3094",,,,,,,
8140,"CH_Bm_prg-3095",,,,,,,
8141,"CH_Bm_prg-3096",,,,,,,
8142,"CH_Bm_prg-3097",,,,,,,
8143,"CH_Bm_prg-3098",,,,,,,
8144,"CH_Bm_prg-3099",,,,,,,
8145,"CH_Bm_prg-3100","475","Concert","20170225","Basel, Kaserne",,"Keersmaeker, Anne Teresa de","Bach, Johann Sebastian"
8146,"CH_Bm_prg-3101",,,"20170226",,,"Charmatz, Boris",
8147,"CH_Bm_prg-3102",,,,,,"Beyer, Amandine",
8148,"CH_Bm_prg-3103",,,,,,"François, Michel",
8149,"CH_Bm_prg-3104",,,,,,"Kunz, Anne-Catherine",
8150,,,,,,,"Dam, George Alexander van",
8151,"CH_Bm_prg-3105","476","Concert","20170317","Basel, Predigerkirche","Ensemble Sequentia","Bagby, Benjamin","Anonymus"
8152,"CH_Bm_prg-3106",,,,,,"Marti, Hanna","Notker Balbulus"
8153,"CH_Bm_prg-3107",,,,,,"Rodenkirchen, Norbert",
8154,"CH_Bm_prg-3108",,,,,,"Ensemble Sequentia",
8155,"CH_Bm_prg-3109",,,,,,,
8156,"CH_Bm_prg-3110",,,,,,,
8157,"CH_Bm_prg-3111",,,,,,,
8158,"CH_Bm_prg-3112",,,,,,,
8159,"CH_Bm_prg-3113",,,,,,,
8160,"CH_Bm_prg-3114",,,,,,,
8161,"CH_Bm_prg-3115",,,,,,,
8162,"CH_Bm_prg-3116",,,,,,,
8163,"CH_Bm_prg-3117",,,,,,,
8164,"CH_Bm_prg-3118",,,,,,,
8165,"CH_Bm_prg-3119",,,,,,,
8166,"CH_Bm_prg-3120",,,,,,,
8167,"CH_Bm_prg-3121",,,,,,,
8168,"CH_Bm_prg-3122",,,,,,,
8169,"CH_Bm_prg-3123",,,,,,,
8170,"CH_Bm_prg-3124",,,,,,,
8171,"CH_Bm_prg-3125",,,,,,,
8172,"CH_Bm_prg-3126",,,,,,,
8173,"CH_Bm_prg-3127",,,,,,,
8174,"CH_Bm_prg-3128",,,,,,,
8175,"CH_Bm_prg-3129",,,,,,,
8176,"CH_Bm_prg-3130",,,,,,,
8177,"CH_Bm_prg-3131",,,,,,,
8178,"CH_Bm_prg-3132",,,,,,,
8179,"CH_Bm_prg-3133",,,,,,,
8180,"CH_Bm_prg-3134",,,,,,,
8181,"CH_Bm_prg-3135","477","Concert","20170406","Basel, Peterskirche","Ensemble La morra","Schleifer, Doron","Petrus Wilhelmi de Grudencz"
8182,"CH_Bm_prg-3136",,,,,,"Haun de Oliveira, Ivo","Nicolaus de Radom"
8183,"CH_Bm_prg-3137",,,,,,"Schiavo, Giacomo","Opilio, Othmarus"
8184,"CH_Bm_prg-3138",,,,,,"León, Sebastián","Tourout, Johannes"
8185,"CH_Bm_prg-3139",,,,,,"Marti, Corina","Anonymus"
8186,"CH_Bm_prg-3140",,,,,,"Gondko, Michał",
8187,"CH_Bm_prg-3141",,,,,,"Danilevskaia, Anna",
8188,"CH_Bm_prg-3142",,,,,,"Ensemble La morra",
8189,"CH_Bm_prg-3143",,,,,,,
8190,"CH_Bm_prg-3144",,,,,,,
8191,"CH_Bm_prg-3145",,,,,,,
8192,"CH_Bm_prg-3146",,,,,,,
8193,"CH_Bm_prg-3147",,,,,,,
8194,"CH_Bm_prg-3148",,,,,,,
8195,"CH_Bm_prg-3149",,,,,,,
8196,"CH_Bm_prg-3150",,,,,,,
8197,"CH_Bm_prg-3151",,,,,,,
8198,"CH_Bm_prg-3152",,,,,,,
8199,"CH_Bm_prg-3153",,,,,,,
8200,"CH_Bm_prg-3154",,,,,,,
8201,"CH_Bm_prg-3155",,,,,,,
8202,"CH_Bm_prg-3156",,,,,,,
8203,"CH_Bm_prg-3157",,,,,,,
8204,"CH_Bm_prg-3158",,,,,,,
8205,"CH_Bm_prg-3159",,,,,,,
8206,"CH_Bm_prg-3160",,,,,,,
8207,"CH_Bm_prg-3161",,,,,,,
8208,"CH_Bm_prg-3162",,,,,,,
8209,"CH_Bm_prg-3163",,,,,,,
8210,"CH_Bm_prg-3164",,,,,,,
8211,"CH_Bm_prg-3165",,,,,,,
8212,"CH_Bm_prg-3166",,,,,,,
8213,"CH_Bm_prg-3167",,,,,,,
8214,"CH_Bm_prg-3168",,,,,,,
8215,"CH_Bm_prg-3169",,,,,,,
8216,"CH_Bm_prg-3170",,,,,,,
8217,"CH_Bm_prg-3171",,,,,,,
8218,"CH_Bm_prg-3172",,,,,,,
8219,"CH_Bm_prg-3173","478","Concert","20170503","Arlesheim, Dom","Schola Cantorum Basiliensis, Chor und Orchester","Sato, Yukie","Mozart, Wolfgang Amadeus"
8220,"CH_Bm_prg-3174",,,,,,"König, Dina",
8221,"CH_Bm_prg-3175",,,,,,"Lawrence, Jacob",
8222,"CH_Bm_prg-3176",,,,,,"Faust, Roland",
8223,"CH_Bm_prg-3177",,,,,,"Marcon, Andrea",
8224,"CH_Bm_prg-3178",,,,,,"Schwenkreis, Markus",
8225,"CH_Bm_prg-3179",,,,,,"Sepúlveda, Carlos Federico",
8226,"CH_Bm_prg-3180",,,,,,"Bachleitner, Anna",
8227,"CH_Bm_prg-3181",,,,,,"Kenny, Aisling Marie",
8228,"CH_Bm_prg-3182",,,,,,"Kirchner, Julia",
8229,"CH_Bm_prg-3183",,,,,,"Lelièvre, Jeanne-Marie",
8230,"CH_Bm_prg-3184",,,,,,"Terranova, Anastasia",
8231,"CH_Bm_prg-3185",,,,,,"Fonseca Nuñez, Ana Maria",
8232,"CH_Bm_prg-3186",,,,,,"Lopes de Castro, Manuela",
8233,"CH_Bm_prg-3187",,,,,,"Melish, Roman",
8234,"CH_Bm_prg-3188",,,,,,"Roos, Tessa",
8235,"CH_Bm_prg-3189",,,,,,"Sone, Aiko",
8236,"CH_Bm_prg-3190",,,,,,"Veiteberg, Andres",
8237,"CH_Bm_prg-3191",,,,,,"Wattam, Christopher",
8238,"CH_Bm_prg-3192",,,,,,"Ôno, Akinobu",
8239,"CH_Bm_prg-3193",,,,,,"Stähelin, Rui",
8240,"CH_Bm_prg-3194",,,,,,"Szántó, Csongor",
8241,"CH_Bm_prg-3195",,,,,,"Waas, Anian",
8242,"CH_Bm_prg-3196",,,,,,"Zanolli, Valerio Giuseppe",
8243,"CH_Bm_prg-3197",,,,,,"Vithanage, Lathika",
8244,"CH_Bm_prg-3198",,,,,,"Raymond-Jarczyk, Corinne",
8245,"CH_Bm_prg-3199",,,,,,"Makarenko, Vadym",
8246,"CH_Bm_prg-3200",,,,,,"Müller, Cécile",
8247,"CH_Bm_prg-3201",,,,,,"Ohshita, Shio",
8248,"CH_Bm_prg-3202",,,,,,"Sohn, Maria",
8249,"CH_Bm_prg-3203",,,,,,"Hamberger, Lukas",
8250,"CH_Bm_prg-3204",,,,,,"Bardonnèche, Sophie de",
8251,"CH_Bm_prg-3205",,,,,,"Amstutz, Anna",
8252,"CH_Bm_prg-3206",,,,,,"Carducci, Natalie",
8253,,,,,,,"Schwob, Julia",
8254,,,,,,,"Banos, Talia",
8255,,,,,,,"Rogers, Anna Liza",
8256,,,,,,,"Okubo, Satoko",
8257,,,,,,,"Hage, Sophie Luise",
8258,,,,,,,"Nicolas, Caroline",
8259,,,,,,,"Rovirosa, Carla",
8260,,,,,,,"Paoli, Nicola",
8261,,,,,,,"Caceres, Pablo",
8262,,,,,,,"Albenga, Giacomo",
8263,,,,,,,"Herden, Natalia",
8264,,,,,,,"Dozler, Bettina",
8265,,,,,,,"Sindelár, Ondrej",
8266,,,,,,,"Chiang, Martin",
8267,,,,,,,"Lézy, Jules",
8268,,,,,,,"Julien-Laferrière, Lucien",
8269,,,,,,,"Kalitzky, Einat",
8270,,,,,,,"Weiss, Jochen",
8271,,,,,,,"Serafini, Daniel",
8272,,,,,,,"Meyer, Constantin",
8273,,,,,,,"Dyer, Stephanie",
