"line_no","images","doc_no","type","date","place","#no longer used#","names_int","names_comp"
8463,"CH_BM_prg-3387","486","Concert","20180525","Basel, Scala",,"Ensemble Ad Fontes","Purcell, Henry"
8464,"CH_BM_prg-3388",,,,,,"Tanzkompanie Chorea Basileae","Steffani, Agostino"
8465,"CH_BM_prg-3389",,,,,,"Pinget, Antonin","Leininger, Thomas"
8466,"CH_BM_prg-3390",,,,,,"Niedecken, Bernd","Lully, Jean-Baptiste"
8467,"CH_BM_prg-3391",,,,,,"Arcos, Alberto","Charaf, Bardia"
8468,"CH_BM_prg-3392",,,,,,"Gal, Mojca","Boësset, Antoine de"
8469,"CH_BM_prg-3393",,,,,,"Leitherer, Barbara","Marais, Marin"
8470,"CH_BM_prg-3394",,,,,,"Grässle, Philipp","Locke, Matthew"
8471,"CH_BM_prg-3395",,,,,,"Freyburger, Aude","Vivaldi, Antonio"
8472,"CH_BM_prg-3396",,,,,,"Ferri Benedetti, Flavio",
8473,"CH_BM_prg-3397",,,,,,"Dunkelblum, Dan",
8474,"CH_BM_prg-3398",,,,,,"Akhmetov, Andrey",
8475,"CH_BM_prg-3399",,,,,,"Baer, Monika",
8476,"CH_BM_prg-3400",,,,,,"Amstutz, Anna",
8477,"CH_BM_prg-3401",,,,,,"Baviera, Giovanna",
8478,"CH_BM_prg-3402",,,,,,"Hurtado Gosalvez, Bruno",
8479,"CH_BM_prg-3403",,,,,,"Aeberhard, Anne Simone",
8480,"CH_BM_prg-3404",,,,,,"Weyermann, Sabina",
8481,"CH_BM_prg-3405",,,,,,"Johannsen, Rainer",
8482,"CH_BM_prg-3406",,,,,,"Vogrin, Tanja",
8483,,,,,,,"Orenstein, Rani",
8484,,,,,,,"Thiele, Nora",
8485,,,,,,,"Weller, Sharon",
8486,,,,,,,"Heiter, Gerrit Berenike",
8487,,,,,,,"Reuber, Lena",
8488,,,,,,,"Uehlinger, Marion",
8489,,,,,,,"Zupančič, Roman",
8490,,,,,,,"Frick, Théo",
8491,"CH_BM_prg-3407","487","Concert","20180620","Basel, Martinskirche",,"Ensemble Les Cornets Noirs","Marini, Biagio"
8492,"CH_BM_prg-3408",,,,,,"Friedrich, Wolf Matthias","Peranda, Giuseppe"
8493,"CH_BM_prg-3409",,,,,,"Beyer, Amandine","Usper, Francesco"
8494,"CH_BM_prg-3410",,,,,,"Stawiarski, Cosimo","Bertali, Antonio"
8495,"CH_BM_prg-3411",,,,,,"Smith, Bork-Frithjof","Castello, Dario"
8496,"CH_BM_prg-3412",,,,,,"David, Gebhard","Picchi, Giovanni"
8497,"CH_BM_prg-3413",,,,,,"Mechelen, Simen van","Schulze, Christian Andreas"
8498,"CH_BM_prg-3414",,,,,,"Günther, Fernando","Schütz, Heinrich"
8499,"CH_BM_prg-3415",,,,,,"Sepec, Patrick","Legrenzi, Giovanni"
8500,"CH_BM_prg-3416",,,,,,"Spaeter, Matthias","Merulo, Claudio"
8501,"CH_BM_prg-3417",,,,,,"Strobl, Johannes","Reina, Sisto"
8502,"CH_BM_prg-3418",,,,,,,"Cima, Gian Paolo"
8503,"CH_BM_prg-3419",,,,,,,"Gabrieli, Giovanni"
8504,"CH_BM_prg-3420",,,,,,,"Gletle, Johann Melchior"
8505,"CH_BM_prg-3421",,,,,,,
8506,"CH_BM_prg-3422",,,,,,,
8507,"CH_BM_prg-3423",,,,,,,
8508,"CH_BM_prg-3424",,,,,,,
8509,"CH_BM_prg-3425",,,,,,,
8510,"CH_BM_prg-3426",,,,,,,
8511,"CH_BM_prg-3427",,,,,,,
8512,"CH_BM_prg-3428",,,,,,,
8513,"CH_BM_prg-3429",,,,,,,
8514,"CH_BM_prg-3430",,,,,,,
8515,"CH_BM_prg-3431",,,,,,,
8516,"CH_BM_prg-3432",,,,,,,
8517,"CH_BM_prg-3433",,,,,,,
8518,"CH_BM_prg-3434",,,,,,,
8519,"CH_BM_prg-3435",,,,,,,
8520,"CH_BM_prg-3436",,,,,,,
8521,"CH_BM_prg-3437","488","Concert","20171213","Basel, Grosser Saal der Musik-Akademie",,"Baù, Teodoro","Forqueray, Jean-Baptiste"
8522,"CH_BM_prg-3438",,,,,,"Bortolotto, Leonardo","Corelli, Arcangelo"
8523,"CH_BM_prg-3439",,,,,,"Buccarella, Andrea","Duphly, Jacques"
8524,"CH_BM_prg-3440",,,,,,"Caminiti, Daniele","Forqueray, Antoine"
8525,"CH_BM_prg-3441",,,,,,,
8526,"CH_BM_prg-3442",,,,,,,
8527,"CH_BM_prg-3443",,,,,,,
8528,"CH_BM_prg-3444",,,,,,,
8529,"CH_BM_prg-3445",,,,,,,
8530,"CH_BM_prg-3446",,,,,,,
8531,"CH_BM_prg-3447",,,,,,,
8532,"CH_BM_prg-3448",,,,,,,
8533,"CH_BM_prg-3449","489","Concert","20180117","Basel, Allgemeine Lesegesellschaft",,"Domus Artis","Rossi, Michelangelo"
8534,"CH_BM_prg-3450",,,"20180118",,,"Keller, Johannes","D'India, Sigismondo"
8535,"CH_BM_prg-3451",,,,,,"Menconi, Florencia",
8536,"CH_BM_prg-3452",,,,,,"Mentes, Dániel",
8537,"CH_BM_prg-3453",,,,,,"Haun de Oliveira, Ivo",
8538,"CH_BM_prg-3454",,,,,,"Quinderé, Breno",
8539,"CH_BM_prg-3455",,,,,,"Szántó, Csongor",
8540,"CH_BM_prg-3456",,,,,,"Kleine, Michael",
8541,"CH_BM_prg-3457",,,,,,,
8542,"CH_BM_prg-3458",,,,,,,
8543,"CH_BM_prg-3459",,,,,,,
8544,"CH_BM_prg-3460",,,,,,,
8545,"CH_BM_prg-3461",,,,,,,
8546,"CH_BM_prg-3462",,,,,,,
8547,"CH_BM_prg-3463",,,,,,,
8548,"CH_BM_prg-3464",,,,,,,
8549,"CH_BM_prg-3465","490","Concert","20181129","Basel, Peterskirche",,"Ensemble Graindelavoix","Hèle, George de la"
8550,"CH_BM_prg-3466",,,,,,"Olsen, Anne-Kathryn","Lobo, Duarte"
8551,"CH_BM_prg-3467",,,,,,"Kamenezky, Alice","Vecchi, Orazio Tiberio"
8552,"CH_BM_prg-3468",,,,,,"Bitar, Razek-François","Bravusi, Paolo"
8553,"CH_BM_prg-3469",,,,,,"Riera, Albert",
8554,"CH_BM_prg-3470",,,,,,"Miravete, Andrés",
8555,"CH_BM_prg-3471",,,,,,"Peterson, Marius",
8556,"CH_BM_prg-3472",,,,,,"Sîrbu, Adrian",
8557,"CH_BM_prg-3473",,,,,,"Malfliet, Arnout",
8558,"CH_BM_prg-3474",,,,,,"Höchbauer, Joachim",
8559,"CH_BM_prg-3475",,,,,,"Schmelzer, Björn",
8560,"CH_BM_prg-3476",,,,,,,
8561,"CH_BM_prg-3477",,,,,,,
8562,"CH_BM_prg-3478",,,,,,,
8563,"CH_BM_prg-3479",,,,,,,
8564,"CH_BM_prg-3480",,,,,,,
8565,"CH_BM_prg-3481",,,,,,,
8566,"CH_BM_prg-3482",,,,,,,
8567,"CH_BM_prg-3483",,,,,,,
8568,"CH_BM_prg-3484",,,,,,,
8569,"CH_BM_prg-3485",,,,,,,
8570,"CH_BM_prg-3486",,,,,,,
8571,"CH_BM_prg-3487",,,,,,,
8572,"CH_BM_prg-3488",,,,,,,
8573,"CH_BM_prg-3489",,,,,,,
8574,"CH_BM_prg-3490",,,,,,,
8575,"CH_BM_prg-3491","491","Concert","20190109","Basel, Peterskirche",,"Capricornus Consort Basel","Richter, Franz Xaver"
8576,"CH_BM_prg-3492",,,,,,"Barczi, Péter",
8577,"CH_BM_prg-3493",,,,,,"Borhi, Éva",
8578,"CH_BM_prg-3494",,,,,,"Jäggi, Matthias",
8579,"CH_BM_prg-3495",,,,,,"Rosin, Daniel",
8580,"CH_BM_prg-3496",,,,,,"Blunden, David",
8581,"CH_BM_prg-3497",,,,,,"Behr, Julian",
8582,"CH_BM_prg-3498",,,,,,"Arfken, Katharina",
8583,"CH_BM_prg-3499",,,,,,,
8584,"CH_BM_prg-3500",,,,,,,
8585,"CH_BM_prg-3501",,,,,,,
8586,"CH_BM_prg-3502",,,,,,,
8587,"CH_BM_prg-3503",,,,,,,
8588,"CH_BM_prg-3504",,,,,,,
8589,"CH_BM_prg-3505",,,,,,,
8590,"CH_BM_prg-3506",,,,,,,
8591,"CH_BM_prg-3507",,,,,,,
8592,"CH_BM_prg-3508",,,,,,,
8593,"CH_BM_prg-3509","492","Concert","20190321","Basel, Peterskirche",,"Magrini, Lisa","Le Jeune, Claude"
8594,"CH_BM_prg-3510",,,,,,"Lablaude, Anne-Marie","Janequin, Clément"
8595,"CH_BM_prg-3511",,,,,,"König, Dina","Willaert, Adrian"
8596,"CH_BM_prg-3512",,,,,,"Lièvre-Picard, Vincent",
8597,"CH_BM_prg-3513",,,,,,"Vellard, Dominique",
8598,"CH_BM_prg-3514",,,,,,"Schiavo, Giacomo",
8599,"CH_BM_prg-3515",,,,,,"Costanzo, Cyril",
8600,"CH_BM_prg-3516",,,,,,"Piganiol, Claire",
8601,"CH_BM_prg-3517",,,,,,"Vicens, Catalina",
8602,"CH_BM_prg-3518",,,,,,"Behr, Julian",
8603,"CH_BM_prg-3519",,,,,,,
8604,"CH_BM_prg-3520",,,,,,,
8605,"CH_BM_prg-3521",,,,,,,
8606,"CH_BM_prg-3522",,,,,,,
8607,"CH_BM_prg-3523",,,,,,,
8608,"CH_BM_prg-3524",,,,,,,
8609,"CH_BM_prg-3525",,,,,,,
8610,"CH_BM_prg-3526",,,,,,,
8611,"CH_BM_prg-3527",,,,,,,
8612,"CH_BM_prg-3528",,,,,,,
8613,"CH_BM_prg-3529",,,,,,,
8614,"CH_BM_prg-3530",,,,,,,
8615,"CH_BM_prg-3531",,,,,,,
8616,"CH_BM_prg-3532",,,,,,,
8617,"CH_BM_prg-3533",,,,,,,
8618,"CH_BM_prg-3534",,,,,,,
8619,"CH_BM_prg-3535",,,,,,,
8620,"CH_BM_prg-3536",,,,,,,
8621,"CH_BM_prg-3537",,,,,,,
8622,"CH_BM_prg-3538",,,,,,,
8623,"CH_BM_prg-3539",,,,,,,
8624,"CH_BM_prg-3540",,,,,,,
8625,"CH_BM_prg-3541",,,,,,,
8626,"CH_BM_prg-3542",,,,,,,
8627,"CH_BM_prg-3543",,,,,,,
8628,"CH_BM_prg-3544",,,,,,,
8629,"CH_BM_prg-3545",,,,,,,
8630,"CH_BM_prg-3546",,,,,,,
8631,"CH_BM_prg-3547","493","Concert","20190405","Basel, Peterskirche",,"Ensemble Leones","Oswald von Wolkenstein"
8632,"CH_BM_prg-3548",,,,,,"Janssens-Vanmunster, Els",
8633,"CH_BM_prg-3549",,,,,,"Andersén, Miriam",
8634,"CH_BM_prg-3550",,,,,,"Winter, Mara",
8635,"CH_BM_prg-3551",,,,,,"Romain, Baptiste",
8636,"CH_BM_prg-3552",,,,,,"Lewon, Marc",
8637,"CH_BM_prg-3553",,,,,,,
8638,"CH_BM_prg-3554",,,,,,,
8639,"CH_BM_prg-3555",,,,,,,
8640,"CH_BM_prg-3556",,,,,,,
8641,"CH_BM_prg-3557",,,,,,,
8642,"CH_BM_prg-3558",,,,,,,
8643,"CH_BM_prg-3559",,,,,,,
8644,"CH_BM_prg-3560",,,,,,,
8645,"CH_BM_prg-3561",,,,,,,
8646,"CH_BM_prg-3562",,,,,,,
8647,"CH_BM_prg-3563",,,,,,,
8648,"CH_BM_prg-3564",,,,,,,
8649,"CH_BM_prg-3565",,,,,,,
8650,"CH_BM_prg-3566",,,,,,,
8651,"CH_BM_prg-3567",,,,,,,
8652,"CH_BM_prg-3568",,,,,,,
8653,"CH_BM_prg-3569",,,,,,,
8654,"CH_BM_prg-3570",,,,,,,
8655,"CH_BM_prg-3571",,,,,,,
8656,"CH_BM_prg-3572",,,,,,,
8657,"CH_BM_prg-3573",,,,,,,
8658,"CH_BM_prg-3574",,,,,,,
8659,"CH_BM_prg-3575",,,,,,,
8660,"CH_BM_prg-3576",,,,,,,
8661,"CH_BM_prg-3577",,,,,,,
8662,"CH_BM_prg-3578",,,,,,,
8663,"CH_BM_prg-3579","494","Concert","20190503","Basel, Peterskirche",,"Yoshida, Soko","Telemann, Georg Philipp"
8664,"CH_BM_prg-3580",,,,,,"Türk, Gerd","Rameau, Jean-Philippe"
8665,"CH_BM_prg-3581",,,,,,"Bötticher, Jörg-Andreas",
8666,"CH_BM_prg-3582",,,,,,"Bachleitner, Anna",
8667,"CH_BM_prg-3583",,,,,,"Diamond, Roberta",
8668,"CH_BM_prg-3584",,,,,,"Fahrion, Cornelia",
8669,"CH_BM_prg-3585",,,,,,"Kirchner, Julia",
8670,"CH_BM_prg-3586",,,,,,"Lelièvre, Jeanne-Marie",
8671,"CH_BM_prg-3587",,,,,,"Roux, Emma-Lisa",
8672,"CH_BM_prg-3588",,,,,,"Myrlak, Marcjanna",
8673,"CH_BM_prg-3589",,,,,,"Roos, Tessa",
8674,"CH_BM_prg-3590",,,,,,"Sone, Aiko",
8675,"CH_BM_prg-3591",,,,,,"Baldensperger, Arthur",
8676,"CH_BM_prg-3592",,,,,,"Barakos, Kimon",
8677,"CH_BM_prg-3593",,,,,,"Coca Loza, José",
8678,"CH_BM_prg-3594",,,,,,"Gygli, Felix",
8679,"CH_BM_prg-3595",,,,,,"Tiroshi, Amir",
8680,"CH_BM_prg-3596",,,,,,"Janská, Zora",
8681,"CH_BM_prg-3597",,,,,,"Sobbe, Lea",
8682,"CH_BM_prg-3598",,,,,,"Kwon, Hojin",
8683,"CH_BM_prg-3599",,,,,,"Bišćević, Eleonora",
8684,"CH_BM_prg-3600",,,,,,"Yoshizaki, Yasuka",
8685,"CH_BM_prg-3601",,,,,,"Ablogina, Darina",
8686,"CH_BM_prg-3602",,,,,,"Gigosos, Pablo Enrique",
8687,"CH_BM_prg-3603",,,,,,"Intrieri, Francesco",
8688,"CH_BM_prg-3604",,,,,,"Cuadrado, José Manuel",
8689,,,,,,,"Sanchez, Adria",
8690,,,,,,,"Domínguez, Áurea",
8691,,,,,,,"Michalak, Joanna",
8692,,,,,,,"Ares López, Berta",
8693,,,,,,,"Hamberger, Lukas",
8694,,,,,,,"Sakanaga, Tamami",
8695,,,,,,,"Wolteche, Aliénor",
8696,,,,,,,"Veres, Sibil",
8697,,,,,,,"Frisch, Johannes",
8698,,,,,,,"Mory, Emilie",
8699,,,,,,,"Gómez, Sara",
8700,,,,,,,"Chigioni, Thomas",
8701,,,,,,,"Leal, Carlos",
8702,,,,,,,"Cáceres, Pablo",
8703,,,,,,,"Kleinman, Nicholas",
8704,,,,,,,"Lanz, Matías",
8705,,,,,,,"Sohn, Dubee",
8706,"CH_BM_prg-3605","495","Concert","20190612","Basel, Martinskirche",,"Ensemble Concerto Soave","Trabaci, Giovanni Maria"
8707,"CH_BM_prg-3606",,,,,,"Kiehr, María Cristina","D'India, Sigismondo"
8708,"CH_BM_prg-3607",,,,,,"Galassi, Mara","Monte, Philippe de"
8709,"CH_BM_prg-3608",,,,,,"Moquet, Sylvie","Peri, Jacopo"
8710,"CH_BM_prg-3609",,,,,,"Spaeter, Matthias","Mayone, Ascanio"
8711,"CH_BM_prg-3610",,,,,,"Aymes, Jean-Marc","Monteverdi, Claudio"
8712,"CH_BM_prg-3611",,,,,,,"Ferrabosco, Alfonso"
8713,"CH_BM_prg-3612",,,,,,,"Kapsperger, Giovanni Girolamo"
8714,"CH_BM_prg-3613",,,,,,,"Gagliano, Marco da"
8715,"CH_BM_prg-3614",,,,,,,
8716,"CH_BM_prg-3615",,,,,,,
8717,"CH_BM_prg-3616",,,,,,,
8718,"CH_BM_prg-3617",,,,,,,
8719,"CH_BM_prg-3618",,,,,,,
8720,"CH_BM_prg-3619",,,,,,,
8721,"CH_BM_prg-3620",,,,,,,
8722,"CH_BM_prg-3621",,,,,,,
8723,"CH_BM_prg-3622",,,,,,,
8724,"CH_BM_prg-3623",,,,,,,
8725,"CH_BM_prg-3624","496","Concert","20181102","Basel, Predigerkirche",,"Abchordis Ensemble","Durante, Francesco"
8726,"CH_BM_prg-3625",,,,,,"Buccarella, Andrea","Porpora, Nicola"
8727,"CH_BM_prg-3626",,,,,,"Lys, Marie","Jommelli, Niccolò"
8728,"CH_BM_prg-3627",,,,,,"Gallo, Maria Chiara",
8729,"CH_BM_prg-3628",,,,,,"Masotti, Antonio",
8730,"CH_BM_prg-3629",,,,,,"Ôno, Akinobu",
8731,"CH_BM_prg-3630",,,,,,"Viel, Katia",
8732,"CH_BM_prg-3631",,,,,,"Vithanage, Lathika",
8733,"CH_BM_prg-3632",,,,,,"Capuzzo, Giulia",
8734,"CH_BM_prg-3633",,,,,,"Paoli, Nicola",
8735,"CH_BM_prg-3634",,,,,,"Lo Cicero, Marco",
8736,"CH_BM_prg-3635",,,,,,"Tomasi, Francesco",
8737,,,,,,,"Graziadio, Giovanni Battista",
8738,,,,,,,"Perer, Deniel",
8739,"CH_BM_prg-3636","497","Concert","20181213","Basel, Grosser Saal der Musik-Akademie",,"Ensemble La Guirlande","Plá, Juan Bautista"
8740,"CH_BM_prg-3637",,,,,,"Martínez Pueyo, Luis","Ximénez, Joaquín Nicolás"
8741,"CH_BM_prg-3638",,,,,,"Boronat Sanz, Joan","Facco, Giacomo"
8742,"CH_BM_prg-3639",,,,,,"Saladin, Eva","Lluch, Felipe"
8743,"CH_BM_prg-3640",,,,,,"Domingo, Ester","Cabanilles, Juan Bautista José"
8744,"CH_BM_prg-3641",,,,,,"FitzGerald, Pablo",
8745,"CH_BM_prg-3642",,,,,,,
8746,"CH_BM_prg-3643",,,,,,,
8747,"CH_BM_prg-3644",,,,,,,
8748,"CH_BM_prg-3645",,,,,,,
8749,"CH_BM_prg-3646",,,,,,,
8750,"CH_BM_prg-3647",,,,,,,
8751,"CH_BM_prg-3648","498","Season","20181102","Basel, Predigerkirche",,"Abchordis Ensemble","Durante, Francesco"
8752,"CH_BM_prg-3649",,,,,,"Buccarella, Andrea","Porpora, Nicola"
8753,"CH_BM_prg-3650",,,,,,"Lys, Marie","Jommelli, Niccolò"
8754,"CH_BM_prg-3651",,,,,,"Gallo, Maria Chiara",
8755,"CH_BM_prg-3652",,,,,,"Masotti, Antonio",
8756,"CH_BM_prg-3653",,,,,,"Ôno, Akinobu",
8757,"CH_BM_prg-3654",,,,,,"Viel, Katia",
8758,"CH_BM_prg-3655",,,,,,"Vithanage, Lathika",
8759,"CH_BM_prg-3656",,,,,,"Capuzzo, Giulia",
8760,"CH_BM_prg-3657",,,,,,"Paoli, Nicola",
8761,"CH_BM_prg-3658",,,,,,"Lo Cicero, Marco",
8762,"CH_BM_prg-3659",,,,,,"Tomasi, Francesco",
8763,"CH_BM_prg-3660",,,,,,"Graziadio, Giovanni Battista",
8764,"CH_BM_prg-3661",,,,,,"Perer, Deniel",
8765,"CH_BM_prg-3662",,,"20181129","Basel, Peterskirche",,"Ensemble Graindelavoix","Hèle, George de la"
8766,"CH_BM_prg-3663",,,,,,"Schmelzer, Björn","Lobo, Duarte"
8767,"CH_BM_prg-3664",,,"20181213","Basel, Grosser Saal der Musik-Akademie",,"Ensemble La Guirlande","Plá, Juan Bautista"
8768,"CH_BM_prg-3665",,,,,,"Martínez Pueyo, Luis","Ximénez, Joaquín Nicolás"
8769,"CH_BM_prg-3666",,,,,,"Boronat Sanz, Joan","Facco, Giacomo"
8770,"CH_BM_prg-3667",,,,,,"Saladin, Eva",
8771,"CH_BM_prg-3668",,,,,,"Domingo, Ester",
8772,"CH_BM_prg-3669",,,,,,"FitzGerald, Pablo",
8773,"CH_BM_prg-3670",,,"20190109","Basel, Peterskirche",,"Capricornus Consort Basel","Richter, Franz Xaver"
8774,"CH_BM_prg-3671",,,,,,"Barczi, Péter",
8775,,,,"20190321","Basel, Peterskirche",,"Magrini, Lisa","Le Jeune, Claude"
8776,,,,,,,"Lablaude, Anne-Marie","Janequin, Clément"
8777,,,,,,,"König, Dina","Willaert, Adrian"
8778,,,,,,,"Lièvre-Picard, Vincent",
8779,,,,,,,"Vellard, Dominique",
8780,,,,,,,"Schiavo, Giacomo",
8781,,,,,,,"Costanzo, Cyril",
8782,,,,,,,"Piganiol, Claire",
8783,,,,,,,"Vicens, Catalina",
8784,,,,,,,"Behr, Julian",
8785,,,,"20190405","Basel, Peterskirche",,"Ensemble Leones","Oswald von Wolkenstein"
8786,,,,,,,"Janssens-Vanmunster, Els",
8787,,,,,,,"Andersén, Miriam",
8788,,,,,,,"Winter, Mara",
8789,,,,,,,"Romain, Baptiste",
8790,,,,,,,"Lewon, Marc",
8791,,,,"20190503","Basel, Peterskirche",,"Wittling, Rahel","Telemann, Georg Philipp"
8792,,,,,,,"Türk, Gerd","Rameau, Jean-Philippe"
8793,,,,,,,"Bötticher, Jörg-Andreas",
8794,,,,"20180620","Basel, Martinskirche",,"Ensemble Concerto Soave","Kapsperger, Giovanni Girolamo"
8795,,,,,,,"Kiehr, María Cristina","D'India, Sigismondo"
8796,,,,,,,"Galassi, Mara","Peri, Jacopo"
8797,,,,,,,"Moquet, Sylvie",
8798,,,,,,,"Spaeter, Matthias",
8799,,,,,,,"Aymes, Jean-Marc",
8800,"CH_BM_prg-3672","499","Concert","20190926","Basel, Martinskirche",,"Blažíková, Hana","Cazzati, Maurizio"
8801,"CH_BM_prg-3673",,,,,,"Dickey, Bruce","Corradini, Nicolò"
8802,"CH_BM_prg-3674",,,,,,"Skuplik, Veronika","Marini, Biagio"
8803,"CH_BM_prg-3675",,,,,,"Aglibut, Catherine","D'India, Sigismondo"
8804,"CH_BM_prg-3676",,,,,,"Velden, Mieneke van der","Palestrina, Giovanni Pierluigi da"
8805,"CH_BM_prg-3677",,,,,,"Verhelst, Kris","Piccinini, Alessandro"
8806,"CH_BM_prg-3678",,,,,,"Lindberg, Jakob","Merula, Tarquinio"
8807,"CH_BM_prg-3679",,,,,,,"Carissimi, Giacomo"
8808,"CH_BM_prg-3680",,,,,,,"Tsoupaki, Calliope"
8809,"CH_BM_prg-3681",,,,,,,"Bassani, Giovanni Battista"
8810,"CH_BM_prg-3682",,,,,,,"Scarlatti, Alessandro"
8811,"CH_BM_prg-3683",,,,,,,
8812,"CH_BM_prg-3684",,,,,,,
8813,"CH_BM_prg-3685",,,,,,,
8814,"CH_BM_prg-3686",,,,,,,
8815,"CH_BM_prg-3687",,,,,,,
8816,"CH_BM_prg-3688",,,,,,,
8817,"CH_BM_prg-3689",,,,,,,
8818,"CH_BM_prg-3690",,,,,,,
8819,"CH_BM_prg-3691",,,,,,,
8820,"CH_BM_prg-3692",,,,,,,
8821,"CH_BM_prg-3693",,,,,,,
8822,"CH_BM_prg-3694",,,,,,,
8823,"CH_BM_prg-3695",,,,,,,
8824,"CH_BM_prg-3696","500","Concert","20191109","Basel, Peterskirche",,"Ensemble Café Zimmermann","Geminiani, Francesco"
8825,"CH_BM_prg-3697",,,,,,"Frisch, Céline","Händel, Georg Friedrich"
8826,"CH_BM_prg-3698",,,,,,"Valetti, Pablo","Scarlatti, Alessandro"
8827,"CH_BM_prg-3699",,,,,,"Ferreira, Mauro Lopes","Avison, Charles"
8828,"CH_BM_prg-3700",,,,,,"Pupulin, Margherita","Corelli, Arcangelo"
8829,"CH_BM_prg-3701",,,,,,"Ferguson, Lisa",
8830,"CH_BM_prg-3702",,,,,,"Geest, Catherine van de",
8831,"CH_BM_prg-3703",,,,,,"Biely, Peter",
8832,"CH_BM_prg-3704",,,,,,"Moral, Guadalupe del",
8833,"CH_BM_prg-3705",,,,,,"Gagnon, Patricia",
8834,"CH_BM_prg-3706",,,,,,"Uzzeni, Lucie",
8835,"CH_BM_prg-3707",,,,,,"Máté, Balázs",
8836,,,,,,,"Mangot, Étienne",
8837,,,,,,,"Nava, Davide",
8838,,,,,,,"Cristóbal, Carles",
8839,"CH_BM_prg-3708","501","Concert","20200115","Basel, Martinskirche",,"Ensemble Vox Luminis","Bach, Johann Sebastian"
8840,"CH_BM_prg-3709",,,,,,"Meunier, Lionel",
8841,"CH_BM_prg-3710",,,,,,"Suni, Tuomo",
8842,"CH_BM_prg-3711",,,,,,"Frisch, Johannes",
8843,"CH_BM_prg-3712",,,,,,"Velden, Mieneke van der",
8844,"CH_BM_prg-3713",,,,,,"Rodríguez Miranda, Ricardo",
8845,"CH_BM_prg-3714",,,,,,"Kernoa, Ronan",
8846,"CH_BM_prg-3715",,,,,,"Aghassi, Benny",
8847,"CH_BM_prg-3716",,,,,,"Moisio, Jasu",
8848,"CH_BM_prg-3717",,,,,,"Jacobs, Bart",
8849,"CH_BM_prg-3718",,,,,,"Tóth, Zsuzsi",
8850,"CH_BM_prg-3719",,,,,,"True, Stefanie",
8851,"CH_BM_prg-3720",,,,,,"Chance, Alexander",
8852,"CH_BM_prg-3721",,,,,,"König, Dina",
8853,"CH_BM_prg-3722",,,,,,"Froeliger, Philippe",
8854,"CH_BM_prg-3723",,,,,,"Myrus, Sebastian",
8855,"CH_BM_prg-3724","502","Concert","20200221","Basel, Martinskirche",,"Baráth, Emőke","Strozzi, Barbara"
8856,"CH_BM_prg-3725",,,,,,"Ensemble Il pomo d'oro","Marini, Biagio"
8857,"CH_BM_prg-3726",,,,,,"Corti, Francesco","Cesti, Antonio"
8858,"CH_BM_prg-3727",,,,,,"Rossi, Stefano","Merula, Tarquinio"
8859,"CH_BM_prg-3728",,,,,,"Solano, Amandine","Cavalli, Francesco"
8860,"CH_BM_prg-3729",,,,,,"Baù, Teodoro",
8861,"CH_BM_prg-3730",,,,,,"Jacques, Emmanuel",
8862,"CH_BM_prg-3731",,,,,,"Coelati Rama, Riccardo",
8863,"CH_BM_prg-3732",,,,,,"Geremia, Gianluca",
8864,"CH_BM_prg-3733",,,,,,"Pasotti, Michele",
8865,"CH_BM_prg-3734",,,,,,"Buccarella, Andrea",
8866,"CH_BM_prg-3735",,,,,,,
8867,"CH_BM_prg-3736",,,,,,,
8868,"CH_BM_prg-3737",,,,,,,
8869,"CH_BM_prg-3738",,,,,,,
8870,"CH_BM_prg-3739",,,,,,,
8871,"CH_BM_prg-3740",,,,,,,
8872,"CH_BM_prg-3741",,,,,,,
8873,"CH_BM_prg-3742",,,,,,,
8874,"CH_BM_prg-3743",,,,,,,
8875,"CH_BM_prg-3744",,,,,,,
8876,"CH_BM_prg-3745",,,,,,,
8877,"CH_BM_prg-3746",,,,,,,
8878,"CH_BM_prg-3747",,,,,,,
8879,"CH_BM_prg-3748","503","Concert","20201117","Basel, Peterskirche",,"Ensemble L'Achéron","Coprario, John"
8880,"CH_BM_prg-3749",,,,,,"Joubert-Caillet, François","Lawes, William"
8881,"CH_BM_prg-3750",,,,,,"Linos, Andreas","Monteverdi, Claudio"
8882,"CH_BM_prg-3751",,,,,,"Loye, Marie-Suzanne de","Simpson, Christopher"
8883,"CH_BM_prg-3752",,,,,,"Piloz, Aude-Marie","Ferrabosco, Alfonso"
8884,"CH_BM_prg-3753",,,,,,"Chemin, Amélie","Jenkins, John"
8885,"CH_BM_prg-3754",,,,,,"Oudenhove, Sarah van","Dering, Richard"
8886,"CH_BM_prg-3755",,,,,,"Moulin, Yoann","White, William"
8887,"CH_BM_prg-3756",,,,,,"Grisvard, Philippe",
8888,"CH_BM_prg-3757",,,,,,,
8889,"CH_BM_prg-3758",,,,,,,
8890,"CH_BM_prg-3759",,,,,,,
8891,"CH_BM_prg-3760","504","Concert","20200915","Basel, Peterskirche",,"Ensemble Dialogos","Anonymus"
8892,"CH_BM_prg-3761",,,,,,"Livljanić, Katarina",
8893,"CH_BM_prg-3762",,,,,,"Boiron, Christel",
8894,"CH_BM_prg-3763",,,,,,"Coutouly, Clara",
8895,"CH_BM_prg-3764",,,,,,"Gesret, Caroline",
8896,"CH_BM_prg-3765",,,,,,"Rankin, Susan",
8897,"CH_BM_prg-3766",,,,,,,
8898,"CH_BM_prg-3767",,,,,,,
