"Azpiazu, J. de","Azpiazu, José de"
Baban,"Babán, Gracián"
"Baban, Gracian","Babán, Gracián"
"Bacca, Daisy","Bacca, Daisy"
"Baccheta, Nadia","Baccheta, Nadia"
Bach,"Bach, Johann Sebastian"
"Bach, Anna Magdalena","Bach, Anna Magdalena"
"Bach, C. P. E.","Bach, Carl Philipp Emmanuel"
"Bach, C. Ph. E.","Bach, Carl Philipp Emmanuel"
"Bach, C.-Ph.-E.","Bach, Carl Philipp Emmanuel"
"Bach, Carl Ph. E.","Bach, Carl Philipp Emmanuel"
"Bach, Carl Philip Emanuel","Bach, Carl Philipp Emmanuel"
"Bach, Carl Philipp Emannuel","Bach, Carl Philipp Emmanuel"
"Bach, Carl Philipp Emanuel","Bach, Carl Philipp Emmanuel"
"Bach, J. C.","Bach, Johann Christian"
"Bach, J. Ch.","Bach, Johann Christian"
"Bach, J. Chr.","Bach, Johann Christian"
"Bach, J. S","Bach, Johann Sebastian"
"Bach, J. S.","Bach, Johann Sebastian"
"Bach, J.-C.","Bach, Johann Christian"
"Bach, J.-S-","Bach, Johann Sebastian"
"Bach, J.-S.","Bach, Johann Sebastian"
"Bach, J.S.","Bach, Johann Sebastian"
"Bach, Jean Sebastien","Bach, Johann Sebastian"
"Bach, Jean Sébastien","Bach, Johann Sebastian"
"Bach, Jean-Chrétien","Bach, Johann Christian"
"Bach, Jean-Sébastien","Bach, Johann Sebastian"
"Bach, Joahnn-Christop-Friederich","Bach, Johann Christoph Friedrich"
"Bach, Johann Christian","Bach, Johann Christian"
"Bach, Johann Christop Friederich","Bach, Johann Christoph Friedrich"
"Bach, Johann Ernst","Bach, Johann Ernst"
"Bach, Johann Sebastian","Bach, Johann Sebastian"
"Bach, Ph E.","Bach, Carl Philipp Emmanuel"
"Bach, Ph. E.","Bach, Carl Philipp Emmanuel"
"Bach, Ph. Em.","Bach, Carl Philipp Emmanuel"
"Bach, Ph.-E","Bach, Carl Philipp Emmanuel"
"Bach, Ph.-E.","Bach, Carl Philipp Emmanuel"
"Bach, Ph.-Em.","Bach, Carl Philipp Emmanuel"
"Bach, S.","Bach, Johann Sebastian"
"Bach, Sylvain","Bach, Sylvain"
"Bach, W. Fr.","Bach, Wilhelm Friedrich Ernst"
"Bach, W.-Fr.","Bach, Wilhelm Friedrich Ernst"
"Bach, Wil. Fried","Bach, Wilhelm Friedrich Ernst"
"Bach, Wilhelm Friedeman","Bach, Wilhelm Friedemann"
"Bach, Wilhelm Friedemann","Bach, Wilhelm Friedemann"
Bach-Philipp,"Bach, Philippe"
Bach-Philippe,"Bach, Philippe"
Bach-Pilipp,"Bach, Philippe"
"Bacsinszky, Daniel","Bacsinszky, Daniel"
"Baechtold-Hertig, I.","Baechtold-Hertig, Irène"
"Baert, Jozef","Baert, Jozef"
"Baier, Yvonne","Baier, Yvonne"
"Baily, Jean","Baily, Jean"
"Baimukhambetova, Anara","Baimukhambetova, Anara"
Balakireff,"Balakirev, Mily Alekseyevich"
"Balbastre, Noëls de","Balbastre, Claude-Bénigne"
"Balissat, Annette","Balissat, Annette"
"Balissat, J.","Balissat, Jean"
"Balissat, Jean","Balissat, Jean"
"Balleys, Brigitte","Balleys, Brigitte"
"Bamert, Matthias","Bamert, Matthias"
"Banderet, Christine","Banderet, Christine"
"Bar-Lev, Saïda","Bar-Lev, Saïda"
"Barabino, Monique","Barabino, Monique"
Barat,"Barra, Jean"
"Barbedette, H.","Barbedette, Hypolyte"
Barber,"Barber, Samuel"
"Barber, Samuel","Barber, Samuel"
"Barberi, Christel","Barberi, Christel"
"Barberi, Christelle","Barberi, Christelle"
"Barberi, Silvie","Barberi, Silvie"
"Barberi, Sylvie","Barberi, Sylvie"
Barbier,"Barbier, Charles"
"Barboza, Randy","Barboza, Randy"
"Bargiel, Woldemar","Bargiel, Woldemar"
"Barilier, Etienne","Barilier, Etienne"
"Barman, Yannick","Barman, Yannick"
"Barneschi, Stefano","Barneschi, Stefano"
"Barone d'Astorga, Emanuele","D'Astorga, Emanuele"
"Barras, Michel","Barras, Michel"
Barriera-de Sanctis,Barriera-de Sanctis
"Barrios, A.","Barrios Mangoré, Agustín"
"Barrios, Agustin","Barrios Mangoré, Agustín"
"Barrios, Angel","Barrios, Angel"
Barrière,"Barrière, Jean"
"Bart, Patrice","Bart, Patrice"
"Barta, Gábor","Barta, Gábor"
"Bartelloni, Leonardo","Bartelloni, Leonardo"
Bartok,"Bartók, Béla"
"Bartok, B.","Bartók, Béla"
"Bartok, Bela","Bartók, Béla"
"Bartok, Béla","Bartók, Béla"
"Bartók, B.","Bartók, Béla"
"Bartók, Bela","Bartók, Béla"
"Bartók, Béla","Bartók, Béla"
"Bastin, Julien","Bastin, Julien"
"Bataillard, François","Bataillard, François"
"Bathélémy, Vivette","Bathélémy, Vivette"
"Batista, Jânia","Batista, Jânia"
"Batok, Bela","Bartók, Béla"
Baton,Baton
Baud,Baud
"Baud, Henry","Baud, Henry"
"Baudat, Raymond","Baudat, Raymond"
Baudelaire,"Baudelaire, Charles"
"Bauer, Jerzy","Bauer, Jerzy"
"Baumann, Peter","Baumann, Peter"
"Baumgartner, Rudolf","Baumgartner, Rudolf"
"Bauni, Axel","Bauni, Axel"
Bazelaire,"Bazelaire, Paul"
"Bazillou, Alexandra","Bazillou, Alexandra"
"Beaucamp, Albert","Beaucamp, Albert"
"Beauge, Jan","Beauge, Jan"
Beaujoyeux,"Beaujoyeux, Balthasar de"
Beck,"Beck, Simone"
"Beck, Simone","Beck, Simone"
"Becker, Charles","Becker, Charles"
"Beer, Kitty","Beer, Kitty"
Beethoven,"Beethoven, Ludwig van"
"Beethoven, L.","Beethoven, Ludwig van"
"Beethoven, L. V.","Beethoven, Ludwig van"
"Beethoven, L. v.","Beethoven, Ludwig van"
"Beethoven, L. van","Beethoven, Ludwig van"
"Beethoven, Ludwig v.","Beethoven, Ludwig van"
"Beethoven, Ludwig van","Beethoven, Ludwig van"
"Beethoven,cmp","Beethoven, Ludwig van"
"Begert, Katharina","Begert, Katharina"
"Begueria, Eleonore","Begueria, Eleonore"
Behr,"Behr, Franz"
"Bekku, Sadao","Bekku, Sadao"
"Bellik, Danièle","Bellik, Danièle"
Bellini,"Bellini, Vincenzo"
"Bellini, V.","Bellini, Vincenzo"
"Belmondo, Letizia","Belmondo, Letizia"
Benda,"Benda, Franz"
"Benda, Nancy","Benda, Nancy"
"Benda, Sebastian","Benda, Sebastian"
"Bendova, Silvie","Bendova, Silvie"
"Benguerel, Xavier","Benguerel, Xavier"
"Benjamin, A.","Benjamin, Arthur"
"Benn, Gottfried","Benn, Gottfried"
"Bennewitz, Hartmut","Bennewitz, Hartmut"
"Benoît, Rose-May","Benoît, Rose-May"
"Bentoiu, Annie","Bentoiu, Annie"
"Bentoiu, Ioana","Bentoiu, Ioana"
"Berard, Claude","Berard, Claude"
"Berditchevsky, Léa","Berditchevsky, Léa"
Berens,"Berens, Hermann"
"Berg, Alban","Berg, Alban"
"Berheim-Caldonazzi, Benjamin","Berheim-Caldonazzi, Benjamin"
"Berio, L.","Berio, Luciano"
"Berio, Luciano","Berio, Luciano"
"Berkovits, F.","Berkovits, F."
"Berkovits, Françoise","Berkovits, Françoise"
Berlioz,"Berlioz, Hector"
"Berlioz, H.","Berlioz, Hector"
"Bernard, Valérie","Bernard, Valérie"
"Bernede, Jean-Claude","Bernede, Jean-Claude"
"Bernheim, Allain","Bernheim, Alain"
Bernier,"Bernier, Nicolas"
"Bernstein, L.","Bernstein, Leonard"
"Bernstein, Leonard","Bernstein, Leonard"
"Bersier, Christine","Bersier, Christine"
"Berstein, L.","Bernstein, Leonard"
"Berstein, Leonard","Bernstein, Leonard"
"Bertelli, Michel","Bertelli, Michel"
"Bertheau, Marie-Cécile","Bertheau, Marie-Cécile"
